,subprocess,Spearman_rho,p_value,hallmark,Tissue
44,Other,0.08430898522317133,0.5405496880601102,Autophagy,Lung
45,mTOR and upstream pathways,0.1445400495051875,0.2924062660573612,Autophagy,Bone
46,Autophagy core,0.17460118875250322,0.20232524262828294,Autophagy,Bone
47,Autophagy upregulators,0.11962810419408268,0.38433425536200505,Autophagy,Bone
48,Autophagy downregulators,0.13101434994035183,0.34037264578075255,Autophagy,Bone
49,Mitophagy,0.18261507508984554,0.1820546672340653,Autophagy,Bone
50,Docking and fusion,0.1587184637943316,0.24710662799580976,Autophagy,Bone
51,Lysosome,0.1363811154513322,0.32078461204584097,Autophagy,Bone
52,Lysosome-related genes,0.08307607963281098,0.5465078839219673,Autophagy,Bone
53,Other,0.18199862229466537,0.18355990136001615,Autophagy,Bone
54,mTOR and upstream pathways,0.043148732507301495,0.7521847267797517,Autophagy,SCAT
55,Autophagy core,0.08416751165835085,0.5374049405418238,Autophagy,SCAT
56,Autophagy upregulators,0.09639756641360507,0.4797207880527713,Autophagy,SCAT
57,Autophagy downregulators,0.11646035286604463,0.39268013790734957,Autophagy,SCAT
58,Mitophagy,0.09502340295795854,0.48603399460234353,Autophagy,SCAT
59,Docking and fusion,0.0724184141125729,0.5958317387870588,Autophagy,SCAT
60,Lysosome,0.05434723592019623,0.6907636832299084,Autophagy,SCAT
61,Lysosome-related genes,-0.09797785438759861,0.472514697042999,Autophagy,SCAT
62,Other,0.08025114580975819,0.5565663663536522,Autophagy,SCAT
63,mTOR and upstream pathways,-0.019581159996077676,0.886100073076212,Autophagy,MAT
64,Autophagy core,-0.022947745398912082,0.8666823340482928,Autophagy,MAT
65,Autophagy upregulators,-0.03820043844848838,0.7798454883946688,Autophagy,MAT
66,Autophagy downregulators,0.08567616321090828,0.5301105887712891,Autophagy,MAT
67,Mitophagy,0.04204796462315627,0.7583126381337597,Autophagy,MAT
68,Docking and fusion,-0.041704435500418066,0.7602280901601313,Autophagy,MAT
69,Lysosome,-0.06980511774040322,0.6091996892914023,Autophagy,MAT
70,Lysosome-related genes,-0.10518861738243833,0.4403811781438002,Autophagy,MAT
71,Other,-0.0483001946569916,0.7237137697579076,Autophagy,MAT
72,mTOR and upstream pathways,0.041701218497482595,0.7624290338111125,Autophagy,WBC
73,Autophagy core,0.018711155430174802,0.8921452825950684,Autophagy,WBC
74,Autophagy upregulators,-0.008086410195598802,0.9532755725710123,Autophagy,WBC
75,Autophagy downregulators,0.10185975892124229,0.4593065956986656,Autophagy,WBC
76,Mitophagy,0.0707107618000792,0.6079492418673973,Autophagy,WBC
77,Docking and fusion,-0.018058440705866378,0.8958864639066204,Autophagy,WBC
78,Lysosome,0.048917342394003506,0.7228439408353872,Autophagy,WBC
79,Lysosome-related genes,0.08793517813599591,0.5232105779337682,Autophagy,WBC
80,Other,0.026434946334491144,0.8480733607870695,Autophagy,WBC
81,mTOR and upstream pathways,0.078618357386949,0.5757729527284794,Autophagy,BAT
82,Autophagy core,0.05353342789080394,0.7034190083305666,Autophagy,BAT
83,Autophagy upregulators,0.059328492378604825,0.673031720012723,Autophagy,BAT
84,Autophagy downregulators,0.05791011995152069,0.6804236876696279,Autophagy,BAT
85,Mitophagy,0.11991325747834129,0.39240875233000305,Autophagy,BAT
86,Docking and fusion,0.1100251754152405,0.4328753436087679,Autophagy,BAT
87,Lysosome,0.03785028133990225,0.7878681589149952,Autophagy,BAT
88,Lysosome-related genes,0.12878821637923915,0.3580586485455287,Autophagy,BAT
89,Other,-0.011225404637208699,0.9364154444812871,Autophagy,BAT
90,mTOR and upstream pathways,0.0625295720916264,0.6532982398327275,Autophagy,Heart
91,Autophagy core,0.14161108973691863,0.307048777920392,Autophagy,Heart
92,Autophagy upregulators,0.09961819083224796,0.47356046149088327,Autophagy,Heart
93,Autophagy downregulators,0.022605666381163958,0.8711083871937685,Autophagy,Heart
94,Mitophagy,0.09440739315794576,0.4971151233103144,Autophagy,Heart
95,Docking and fusion,0.07490521656809412,0.5903587161564068,Autophagy,Heart
96,Lysosome,0.05429191400357514,0.6965994009447867,Autophagy,Heart
97,Lysosome-related genes,0.026475449948108975,0.849281755404167,Autophagy,Heart
98,Other,0.13597883048601847,0.32687944620021736,Autophagy,Heart
99,mTOR and upstream pathways,0.14382316119640925,0.16437770505487662,Autophagy,Brain
100,Autophagy core,0.1346266410553277,0.19334829569686163,Autophagy,Brain
101,Autophagy upregulators,0.05513690269741012,0.5956282902359271,Autophagy,Brain
102,Autophagy downregulators,-0.06767569297392682,0.5146356808022323,Autophagy,Brain
103,Mitophagy,0.1419866717114649,0.16988941895750542,Autophagy,Brain
104,Docking and fusion,0.14176150824970926,0.17057445310708388,Autophagy,Brain
105,Lysosome,0.10847953405895505,0.2953660966551102,Autophagy,Brain
106,Lysosome-related genes,0.15771293224345975,0.12690637931545062,Autophagy,Brain
107,Other,0.06685243906688279,0.5197753993648538,Autophagy,Brain
108,mTOR and upstream pathways,-0.061928224618787275,0.5876962279576209,Autophagy,Liver
109,Autophagy core,-0.004047836166828316,0.9717570926622117,Autophagy,Liver
110,Autophagy upregulators,0.07726353142604621,0.4985328261866424,Autophagy,Liver
111,Autophagy downregulators,0.05412605098000642,0.6356694093822943,Autophagy,Liver
112,Mitophagy,-0.04834168086849647,0.6722448126364657,Autophagy,Liver
113,Docking and fusion,-0.02488624350300792,0.8276614554449063,Autophagy,Liver
114,Lysosome,0.019297539188081816,0.8659523296679815,Autophagy,Liver
115,Lysosome-related genes,-0.18184689970011195,0.10872896122775691,Autophagy,Liver
116,Other,0.015751096624999607,0.8904175660204908,Autophagy,Liver
117,mTOR and upstream pathways,-0.039162883458505396,0.7765042200276306,Autophagy,Intestine
118,Autophagy core,-0.002574596968105447,0.9851161822478063,Autophagy,Intestine
119,Autophagy upregulators,0.043369267237381895,0.7532206951652162,Autophagy,Intestine
120,Autophagy downregulators,-0.09866870915795665,0.4735647683029943,Autophagy,Intestine
121,Mitophagy,-0.08470786644358204,0.5386288146433748,Autophagy,Intestine
122,Docking and fusion,-0.00968193507724161,0.9440698756922044,Autophagy,Intestine
123,Lysosome,-0.033433498656242566,0.8085306287209418,Autophagy,Intestine
124,Lysosome-related genes,-0.1726067826504497,0.20760902313176488,Autophagy,Intestine
125,Other,0.01301803255704022,0.9248464249302433,Autophagy,Intestine
126,mTOR and upstream pathways,0.19443748346982392,0.15101237763063965,Autophagy,Pancreas
127,Autophagy core,0.20302571153827906,0.13342887069416245,Autophagy,Pancreas
128,Autophagy upregulators,0.18268878747217734,0.177769004004542,Autophagy,Pancreas
129,Autophagy downregulators,0.12476977737851601,0.3595515793927446,Autophagy,Pancreas
130,Mitophagy,0.21539275995685445,0.11087477330598558,Autophagy,Pancreas
131,Docking and fusion,0.18007796613936694,0.18415406462868814,Autophagy,Pancreas
132,Lysosome,0.012435754243123013,0.9275202357197996,Autophagy,Pancreas
133,Lysosome-related genes,0.040330319009465244,0.7679040905635599,Autophagy,Pancreas
134,Other,0.1413965869190451,0.29857978555271725,Autophagy,Pancreas
135,mTOR and upstream pathways,-0.006939288279311737,0.9595181691390328,Autophagy,GAT
136,Autophagy core,0.02047433571519701,0.8809414654790042,Autophagy,GAT
137,Autophagy upregulators,0.026657859924484693,0.8453738447667102,Autophagy,GAT
138,Autophagy downregulators,-0.014909163926838088,0.9131552310797467,Autophagy,GAT
139,Mitophagy,0.029337387081842692,0.830051561969681,Autophagy,GAT
140,Docking and fusion,0.014015988207718757,0.9183396551719318,Autophagy,GAT
141,Lysosome,0.009550109612122095,0.9443081550430352,Autophagy,GAT
142,Lysosome-related genes,-0.025627272556270078,0.8512825257859125,Autophagy,GAT
143,Other,0.050223957744325545,0.7131737942889458,Autophagy,GAT
144,mTOR and upstream pathways,-0.0683537364067432,0.6199917720034642,Autophagy,Kidney
145,Autophagy core,-0.03365107023101204,0.8073083650718689,Autophagy,Kidney
146,Autophagy upregulators,-0.15059579166960455,0.2724364632145304,Autophagy,Kidney
147,Autophagy downregulators,0.0199803229496634,0.8848775062704486,Autophagy,Kidney
148,Mitophagy,-0.13884692663205292,0.31202967648302427,Autophagy,Kidney
149,Docking and fusion,-0.08478039030183854,0.5382799225204067,Autophagy,Kidney
150,Lysosome,0.06305949475401934,0.6474009943499611,Autophagy,Kidney
151,Lysosome-related genes,0.013815794997861626,0.9202554087775475,Autophagy,Kidney
152,Other,-0.013380651848322676,0.9227592889495893,Autophagy,Kidney
153,mTOR and upstream pathways,0.035927331733006176,0.8676338906304748,Autophagy,Blood
154,Autophagy core,-0.233749429917213,0.27162861584669185,Autophagy,Blood
155,Autophagy upregulators,0.20270111854301015,0.342148488107326,Autophagy,Blood
156,Autophagy downregulators,0.3659265269102481,0.07865483709649385,Autophagy,Blood
157,Mitophagy,-0.24927358560431445,0.24013416708497487,Autophagy,Blood
158,Docking and fusion,-0.3220153436810183,0.12489711922438633,Autophagy,Blood
159,Lysosome,0.5593131520409973,0.004489758521631637,Autophagy,Blood
160,Lysosome-related genes,0.2705638562609107,0.20098955053751863,Autophagy,Blood
161,Other,0.3211282490703268,0.1259990004273324,Autophagy,Blood
162,mTOR and upstream pathways,-0.14856685628400565,0.18010436828884382,Autophagy,Colon
163,Autophagy core,0.06559051561229841,0.5557736561550409,Autophagy,Colon
164,Autophagy upregulators,-0.04449828545704518,0.6895627647808478,Autophagy,Colon
165,Autophagy downregulators,0.17858231026827157,0.10624532682104426,Autophagy,Colon
166,Mitophagy,0.0711608354095212,0.5226373645621177,Autophagy,Colon
167,Docking and fusion,0.06103785039341438,0.5835824174115221,Autophagy,Colon
168,Lysosome,0.24539401137457648,0.025348528968418185,Autophagy,Colon
169,Lysosome-related genes,0.07285335565560043,0.5127701389106929,Autophagy,Colon
170,Other,0.077652400403977,0.4853192963706604,Autophagy,Colon
