ENSEMBL,ENSEMBL_mice
ENSG00000167941,ENSMUSG00000001494
ENSG00000159167,ENSMUSG00000014813
ENSG00000137801,ENSMUSG00000040152
ENSG00000102265,ENSMUSG00000001131
ENSG00000067182,ENSMUSG00000030341
ENSG00000028137,ENSMUSG00000028599
ENSG00000134308,ENSMUSG00000076432
ENSG00000102245,ENSMUSG00000031132
ENSG00000135404,ENSMUSG00000025351
ENSG00000012061,ENSMUSG00000003549
ENSG00000175595,ENSMUSG00000022545
ENSG00000115271,ENSMUSG00000026893
ENSG00000184344,ENSMUSG00000030117
ENSG00000112062,ENSMUSG00000053436
ENSG00000162711,ENSMUSG00000032691
ENSG00000174175,ENSMUSG00000026580
ENSG00000135446,ENSMUSG00000006728
ENSG00000111276,ENSMUSG00000003031
ENSG00000245848,ENSMUSG00000034957
ENSG00000138755,ENSMUSG00000029417
ENSG00000082701,ENSMUSG00000022812
ENSG00000044574,ENSMUSG00000026864
ENSG00000128604,ENSMUSG00000029771
ENSG00000140044,ENSMUSG00000034271
ENSG00000284190,ENSMUSG00000065455
ENSG00000007952,ENSMUSG00000031257
ENSG00000103148,ENSMUSG00000020289
ENSG00000095303,ENSMUSG00000047250
ENSG00000073756,ENSMUSG00000032487
ENSG00000143816,ENSMUSG00000000126
ENSG00000137309,ENSMUSG00000046711
ENSG00000185507,ENSMUSG00000025498
ENSG00000100311,ENSMUSG00000000489
ENSG00000171552,ENSMUSG00000007659
ENSG00000136634,ENSMUSG00000016529
ENSG00000118113,ENSMUSG00000005800
ENSG00000142208,ENSMUSG00000001729
ENSG00000164305,ENSMUSG00000031628
ENSG00000108468,ENSMUSG00000018666
ENSG00000122565,ENSMUSG00000029836
ENSG00000094916,ENSMUSG00000009575
ENSG00000019582,ENSMUSG00000024610
ENSG00000006016,ENSMUSG00000007888
ENSG00000149948,ENSMUSG00000056758
ENSG00000173039,ENSMUSG00000024927
ENSG00000154734,ENSMUSG00000022893
ENSG00000148677,ENSMUSG00000024803
ENSG00000081181,ENSMUSG00000021125
ENSG00000175054,ENSMUSG00000032409
ENSG00000180535,ENSMUSG00000052271
ENSG00000134107,ENSMUSG00000030103
ENSG00000169594,ENSMUSG00000025105
ENSG00000170312,ENSMUSG00000019942
ENSG00000133703,ENSMUSG00000030265
ENSG00000141646,ENSMUSG00000024515
ENSG00000163513,ENSMUSG00000032440
ENSG00000137462,ENSMUSG00000027995
ENSG00000049249,ENSMUSG00000028965
ENSG00000156508,ENSMUSG00000037742
ENSG00000105835,ENSMUSG00000020572
ENSG00000142082,ENSMUSG00000025486
ENSG00000124731,ENSMUSG00000042265
ENSG00000135503,ENSMUSG00000000532
ENSG00000154188,ENSMUSG00000022309
ENSG00000167772,ENSMUSG00000002289
ENSG00000109321,ENSMUSG00000029378
ENSG00000166681,ENSMUSG00000046432
ENSG00000125845,ENSMUSG00000027358
ENSG00000125730,ENSMUSG00000024164
ENSG00000010278,ENSMUSG00000030342
ENSG00000168036,ENSMUSG00000006932
ENSG00000156234,ENSMUSG00000023078
ENSG00000180871,ENSMUSG00000026180
ENSG00000107984,ENSMUSG00000024868
ENSG00000078401,ENSMUSG00000021367
ENSG00000138798,ENSMUSG00000028017
ENSG00000146648,ENSMUSG00000020122
ENSG00000124882,ENSMUSG00000029377
ENSG00000164283,ENSMUSG00000042379
ENSG00000157557,ENSMUSG00000022895
ENSG00000117560,ENSMUSG00000000817
ENSG00000113578,ENSMUSG00000036585
ENSG00000140285,ENSMUSG00000027208
ENSG00000184481,ENSMUSG00000042903
ENSG00000136574,ENSMUSG00000021944
ENSG00000164949,ENSMUSG00000028214
ENSG00000130755,ENSMUSG00000060791
ENSG00000105376,ENSMUSG00000032174
ENSG00000146678,ENSMUSG00000020429
ENSG00000167779,ENSMUSG00000023046
ENSG00000169194,ENSMUSG00000020383
ENSG00000150782,ENSMUSG00000039217
ENSG00000134352,ENSMUSG00000021756
ENSG00000123999,ENSMUSG00000032968
ENSG00000145703,ENSMUSG00000021676
ENSG00000164171,ENSMUSG00000015533
ENSG00000137825,ENSMUSG00000027296
ENSG00000177606,ENSMUSG00000052684
ENSG00000049130,ENSMUSG00000019966
ENSG00000136167,ENSMUSG00000021998
ENSG00000157227,ENSMUSG00000000957
ENSG00000100906,ENSMUSG00000021025
ENSG00000157168,ENSMUSG00000062991
ENSG00000197461,ENSMUSG00000025856
ENSG00000261371,ENSMUSG00000020717
ENSG00000119630,ENSMUSG00000004791
ENSG00000151665,ENSMUSG00000024145
ENSG00000011304,ENSMUSG00000006498
ENSG00000125384,ENSMUSG00000037759
ENSG00000148344,ENSMUSG00000050737
ENSG00000100784,ENSMUSG00000021180
ENSG00000227500,ENSMUSG00000113949
ENSG00000110876,ENSMUSG00000048163
ENSG00000134548,ENSMUSG00000071112
ENSG00000106799,ENSMUSG00000007613
ENSG00000164761,ENSMUSG00000063727
ENSG00000130640,ENSMUSG00000025474
ENSG00000150630,ENSMUSG00000031520
ENSG00000128564,ENSMUSG00000037428
ENSG00000002745,ENSMUSG00000029671
ENSG00000105989,ENSMUSG00000010797
ENSG00000186810,ENSMUSG00000050232
ENSG00000246705,ENSMUSG00000060032
ENSG00000106538,ENSMUSG00000009281
ENSG00000155363,ENSMUSG00000002227
ENSG00000178726,ENSMUSG00000074743
ENSG00000160691,ENSMUSG00000042626
ENSG00000103196,ENSMUSG00000031825
ENSG00000134531,ENSMUSG00000030208
ENSG00000100979,ENSMUSG00000017754
ENSG00000120129,ENSMUSG00000024190
ENSG00000240583,ENSMUSG00000004655
ENSG00000163660,ENSMUSG00000027829
ENSG00000144802,ENSMUSG00000035356
ENSG00000170458,ENSMUSG00000051439
ENSG00000160888,ENSMUSG00000053560
ENSG00000166825,ENSMUSG00000039062
ENSG00000113083,ENSMUSG00000024529
ENSG00000077238,ENSMUSG00000030748
ENSG00000291237,ENSMUSG00000006818
ENSG00000184557,ENSMUSG00000053113
ENSG00000197019,ENSMUSG00000008384
ENSG00000159388,ENSMUSG00000020423
ENSG00000196843,ENSMUSG00000037447
ENSG00000130702,ENSMUSG00000015647
ENSG00000135245,ENSMUSG00000043421
ENSG00000137193,ENSMUSG00000024014
ENSG00000060138,ENSMUSG00000030189
ENSG00000155090,ENSMUSG00000037465
ENSG00000111057,ENSMUSG00000023043
ENSG00000115963,ENSMUSG00000017144
ENSG00000175793,ENSMUSG00000047281
ENSG00000143570,ENSMUSG00000052310
ENSG00000075426,ENSMUSG00000029135
ENSG00000104774,ENSMUSG00000005142
ENSG00000120708,ENSMUSG00000035493
ENSG00000133874,ENSMUSG00000039328
ENSG00000143382,ENSMUSG00000015850
ENSG00000243649,ENSMUSG00000090231
ENSG00000077150,ENSMUSG00000025225
ENSG00000148840,ENSMUSG00000055491
ENSG00000163083,ENSMUSG00000037035
ENSG00000185022,ENSMUSG00000042622
ENSG00000235750,ENSMUSG00000090394
ENSG00000150991,ENSMUSG00000008348
ENSG00000117525,ENSMUSG00000028128
ENSG00000108551,ENSMUSG00000049892
ENSG00000132661,ENSMUSG00000036992
ENSG00000111859,ENSMUSG00000021365
ENSG00000187479,ENSMUSG00000087006
ENSG00000158859,ENSMUSG00000006403
ENSG00000130066,ENSMUSG00000025283
ENSG00000173334,ENSMUSG00000032501
ENSG00000124562,ENSMUSG00000024217
ENSG00000171346,ENSMUSG00000054146
ENSG00000130203,ENSMUSG00000002985
ENSG00000100647,ENSMUSG00000021133
ENSG00000138166,ENSMUSG00000034765
ENSG00000104635,ENSMUSG00000022094
ENSG00000067082,ENSMUSG00000000078
ENSG00000163815,ENSMUSG00000025784
ENSG00000101187,ENSMUSG00000038963
ENSG00000175899,ENSMUSG00000030111
ENSG00000168610,ENSMUSG00000004040
ENSG00000165030,ENSMUSG00000056749
ENSG00000185386,ENSMUSG00000053137
ENSG00000171223,ENSMUSG00000052837
ENSG00000131873,ENSMUSG00000032640
ENSG00000184500,ENSMUSG00000022912
ENSG00000182704,ENSMUSG00000049580
ENSG00000172889,ENSMUSG00000026921
ENSG00000124216,ENSMUSG00000042821
ENSG00000177426,ENSMUSG00000047407
ENSG00000139278,ENSMUSG00000056888
ENSG00000143333,ENSMUSG00000026475
ENSG00000146278,ENSMUSG00000040128
ENSG00000148841,ENSMUSG00000117975
ENSG00000107438,ENSMUSG00000055044
ENSG00000161960,ENSMUSG00000059796
ENSG00000167470,ENSMUSG00000035621
ENSG00000163638,ENSMUSG00000030022
ENSG00000123358,ENSMUSG00000023034
ENSG00000177464,ENSMUSG00000044317
ENSG00000069399,ENSMUSG00000053175
ENSG00000145623,ENSMUSG00000022146
ENSG00000144655,ENSMUSG00000032515
ENSG00000104805,ENSMUSG00000030824
ENSG00000099860,ENSMUSG00000015312
ENSG00000175592,ENSMUSG00000024912
ENSG00000148339,ENSMUSG00000026819
ENSG00000178878,ENSMUSG00000090698
ENSG00000049323,ENSMUSG00000001870
ENSG00000128016,ENSMUSG00000044786
ENSG00000140511,ENSMUSG00000030606
ENSG00000163874,ENSMUSG00000042677
ENSG00000095794,ENSMUSG00000063889
ENSG00000173846,ENSMUSG00000028680
ENSG00000086544,ENSMUSG00000003752
ENSG00000170345,ENSMUSG00000021250
ENSG00000182718,ENSMUSG00000032231
ENSG00000120738,ENSMUSG00000038418
ENSG00000116717,ENSMUSG00000036390
ENSG00000173918,ENSMUSG00000017446
ENSG00000185033,ENSMUSG00000030539
ENSG00000143384,ENSMUSG00000038612
ENSG00000221869,ENSMUSG00000071637
ENSG00000113916,ENSMUSG00000022508
ENSG00000149357,ENSMUSG00000030842
ENSG00000116586,ENSMUSG00000028062
ENSG00000109270,ENSMUSG00000091512
ENSG00000188186,ENSMUSG00000050552
ENSG00000134248,ENSMUSG00000087260
ENSG00000154803,ENSMUSG00000032633
ENSG00000217128,ENSMUSG00000035992
ENSG00000052795,ENSMUSG00000061175
ENSG00000164654,ENSMUSG00000042447
ENSG00000085415,ENSMUSG00000079614
ENSG00000127580,ENSMUSG00000025737
ENSG00000103091,ENSMUSG00000031959
ENSG00000157020,ENSMUSG00000030298
ENSG00000106615,ENSMUSG00000028945
ENSG00000141458,ENSMUSG00000024413
ENSG00000177058,ENSMUSG00000047789
ENSG00000119655,ENSMUSG00000021242
ENSG00000166167,ENSMUSG00000025217
ENSG00000130766,ENSMUSG00000028893
ENSG00000080546,ENSMUSG00000038332
ENSG00000149212,ENSMUSG00000032009
ENSG00000113575,ENSMUSG00000020349
ENSG00000155876,ENSMUSG00000070934
ENSG00000116954,ENSMUSG00000028646
ENSG00000025039,ENSMUSG00000028278
ENSG00000083750,ENSMUSG00000041658
ENSG00000103197,ENSMUSG00000002496
ENSG00000165699,ENSMUSG00000026812
ENSG00000114388,ENSMUSG00000010057
ENSG00000100150,ENSMUSG00000037426
ENSG00000118162,ENSMUSG00000006021
ENSG00000111203,ENSMUSG00000001518
ENSG00000198198,ENSMUSG00000033253
ENSG00000239282,ENSMUSG00000020424
ENSG00000274070,ENSMUSG00000015944
ENSG00000116977,ENSMUSG00000057554
ENSG00000113732,ENSMUSG00000015575
ENSG00000100554,ENSMUSG00000021114
ENSG00000143882,ENSMUSG00000020566
ENSG00000147416,ENSMUSG00000006273
ENSG00000033627,ENSMUSG00000019302
ENSG00000116039,ENSMUSG00000006269
ENSG00000250565,ENSMUSG00000053375
ENSG00000105929,ENSMUSG00000038600
ENSG00000131100,ENSMUSG00000019210
ENSG00000117410,ENSMUSG00000033379
ENSG00000110719,ENSMUSG00000001750
ENSG00000182220,ENSMUSG00000031007
ENSG00000114573,ENSMUSG00000052459
ENSG00000071553,ENSMUSG00000019087
ENSG00000136888,ENSMUSG00000039105
ENSG00000171130,ENSMUSG00000039347
ENSG00000185883,ENSMUSG00000024121
ENSG00000047249,ENSMUSG00000033793
ENSG00000185344,ENSMUSG00000038023
ENSG00000155097,ENSMUSG00000022295
ENSG00000128524,ENSMUSG00000004285
ENSG00000159720,ENSMUSG00000013160
ENSG00000155792,ENSMUSG00000022419
ENSG00000141564,ENSMUSG00000025583
ENSG00000204673,ENSMUSG00000011096
ENSG00000167965,ENSMUSG00000024142
ENSG00000164327,ENSMUSG00000050310
ENSG00000186654,ENSMUSG00000036106
ENSG00000119487,ENSMUSG00000038696
ENSG00000100726,ENSMUSG00000024170
ENSG00000101407,ENSMUSG00000027650
ENSG00000129696,ENSMUSG00000031577
ENSG00000135362,ENSMUSG00000032841
ENSG00000132356,ENSMUSG00000050697
ENSG00000162409,ENSMUSG00000028518
ENSG00000181929,ENSMUSG00000067713
ENSG00000106617,ENSMUSG00000028944
ENSG00000115592,ENSMUSG00000006542
ENSG00000111725,ENSMUSG00000029513
ENSG00000131791,ENSMUSG00000038205
ENSG00000118046,ENSMUSG00000003068
ENSG00000266173,ENSMUSG00000069631
ENSG00000082146,ENSMUSG00000026027
ENSG00000135932,ENSMUSG00000036707
ENSG00000102547,ENSMUSG00000021981
ENSG00000110931,ENSMUSG00000029471
ENSG00000121879,ENSMUSG00000027665
ENSG00000051382,ENSMUSG00000032462
ENSG00000171608,ENSMUSG00000039936
ENSG00000105851,ENSMUSG00000020573
ENSG00000145675,ENSMUSG00000041417
ENSG00000105647,ENSMUSG00000031834
ENSG00000117461,ENSMUSG00000028698
ENSG00000196455,ENSMUSG00000032571
ENSG00000141506,ENSMUSG00000020901
ENSG00000276231,ENSMUSG00000046207
ENSG00000011405,ENSMUSG00000030660
ENSG00000133056,ENSMUSG00000026447
ENSG00000139144,ENSMUSG00000030228
ENSG00000108443,ENSMUSG00000020516
ENSG00000117676,ENSMUSG00000003644
ENSG00000112977,ENSMUSG00000039168
ENSG00000187840,ENSMUSG00000031490
ENSG00000155506,ENSMUSG00000037331
ENSG00000091831,ENSMUSG00000019768
ENSG00000179632,ENSMUSG00000022553
ENSG00000177169,ENSMUSG00000029512
ENSG00000175224,ENSMUSG00000027244
ENSG00000134324,ENSMUSG00000020593
ENSG00000110497,ENSMUSG00000040506
ENSG00000106070,ENSMUSG00000020176
ENSG00000175634,ENSMUSG00000024830
ENSG00000100644,ENSMUSG00000021109
ENSG00000112561,ENSMUSG00000023990
ENSG00000100811,ENSMUSG00000021264
ENSG00000068323,ENSMUSG00000000134
ENSG00000187098,ENSMUSG00000035158
ENSG00000108840,ENSMUSG00000008855
ENSG00000068024,ENSMUSG00000026313
ENSG00000118515,ENSMUSG00000019970
ENSG00000154229,ENSMUSG00000050965
ENSG00000159217,ENSMUSG00000013415
ENSG00000158186,ENSMUSG00000032470
ENSG00000126458,ENSMUSG00000038387
ENSG00000213281,ENSMUSG00000027852
ENSG00000140474,ENSMUSG00000032308
ENSG00000175104,ENSMUSG00000027164
ENSG00000023287,ENSMUSG00000025907
ENSG00000083290,ENSMUSG00000004798
ENSG00000196289,ENSMUSG00000104158
ENSG00000126581,ENSMUSG00000035086
ENSG00000078142,ENSMUSG00000033628
ENSG00000126775,ENSMUSG00000037526
ENSG00000198382,ENSMUSG00000035354
ENSG00000121481,ENSMUSG00000026484
ENSG00000136869,ENSMUSG00000039005
ENSG00000097033,ENSMUSG00000037062
ENSG00000062716,ENSMUSG00000018171
ENSG00000089685,ENSMUSG00000017716
ENSG00000119729,ENSMUSG00000024143
ENSG00000015285,ENSMUSG00000031165
ENSG00000163291,ENSMUSG00000055725
ENSG00000117090,ENSMUSG00000015316
ENSG00000096433,ENSMUSG00000042644
ENSG00000158828,ENSMUSG00000028756
ENSG00000112079,ENSMUSG00000024006
ENSG00000069869,ENSMUSG00000032216
ENSG00000139112,ENSMUSG00000030161
ENSG00000144848,ENSMUSG00000022663
ENSG00000197548,ENSMUSG00000030314
ENSG00000034713,ENSMUSG00000031950
ENSG00000168397,ENSMUSG00000026280
ENSG00000101460,ENSMUSG00000027602
ENSG00000125703,ENSMUSG00000028550
ENSG00000130734,ENSMUSG00000002820
ENSG00000170296,ENSMUSG00000018567
ENSG00000066739,ENSMUSG00000041341
ENSG00000110046,ENSMUSG00000024773
ENSG00000157954,ENSMUSG00000029578
ENSG00000070540,ENSMUSG00000041895
ENSG00000198925,ENSMUSG00000033124
ENSG00000181652,ENSMUSG00000038295
ENSG00000141580,ENSMUSG00000025173
ENSG00000196998,ENSMUSG00000039382
ENSG00000145782,ENSMUSG00000032905
ENSG00000085978,ENSMUSG00000026289
ENSG00000057663,ENSMUSG00000038160
ENSG00000152348,ENSMUSG00000021619
ENSG00000168010,ENSMUSG00000047767
ENSG00000123240,ENSMUSG00000026672
ENSG00000188554,ENSMUSG00000017119
ENSG00000106052,ENSMUSG00000004535
ENSG00000110395,ENSMUSG00000034342
ENSG00000136436,ENSMUSG00000006056
ENSG00000104765,ENSMUSG00000022051
ENSG00000163625,ENSMUSG00000043940
ENSG00000151929,ENSMUSG00000030847
ENSG00000205356,ENSMUSG00000066621
ENSG00000094631,ENSMUSG00000031161
ENSG00000049759,ENSMUSG00000024589
ENSG00000139842,ENSMUSG00000031446
ENSG00000162909,ENSMUSG00000026509
ENSG00000126247,ENSMUSG00000001794
ENSG00000149557,ENSMUSG00000032118
ENSG00000198648,ENSMUSG00000027030
ENSG00000060237,ENSMUSG00000045962
ENSG00000158290,ENSMUSG00000031095
ENSG00000036257,ENSMUSG00000004364
ENSG00000166266,ENSMUSG00000032030
ENSG00000014216,ENSMUSG00000024942
ENSG00000221914,ENSMUSG00000022052
ENSG00000145354,ENSMUSG00000028165
ENSG00000165168,ENSMUSG00000015340
ENSG00000175567,ENSMUSG00000033685
ENSG00000147894,ENSMUSG00000028300
ENSG00000103657,ENSMUSG00000038664
ENSG00000173531,ENSMUSG00000032591
ENSG00000107643,ENSMUSG00000021936
ENSG00000055732,ENSMUSG00000036853
ENSG00000136048,ENSMUSG00000020057
ENSG00000116478,ENSMUSG00000028800
ENSG00000196591,ENSMUSG00000019777
ENSG00000183735,ENSMUSG00000020115
ENSG00000086991,ENSMUSG00000030562
ENSG00000196730,ENSMUSG00000021559
ENSG00000035664,ENSMUSG00000032380
ENSG00000310517,ENSMUSG00000021585
ENSG00000073921,ENSMUSG00000039361
ENSG00000198742,ENSMUSG00000038780
ENSG00000153130,ENSMUSG00000063253
ENSG00000095787,ENSMUSG00000024283
ENSG00000196586,ENSMUSG00000033577
ENSG00000102096,ENSMUSG00000031155
ENSG00000143322,ENSMUSG00000026596
ENSG00000097007,ENSMUSG00000026842
ENSG00000116209,ENSMUSG00000028618
ENSG00000149547,ENSMUSG00000062762
ENSG00000147649,ENSMUSG00000022255
ENSG00000115363,ENSMUSG00000035104
ENSG00000102710,ENSMUSG00000027751
ENSG00000167657,ENSMUSG00000034974
ENSG00000164841,ENSMUSG00000054409
ENSG00000100926,ENSMUSG00000002320
ENSG00000165861,ENSMUSG00000042628
ENSG00000100429,ENSMUSG00000062906
ENSG00000099940,ENSMUSG00000022765
ENSG00000089159,ENSMUSG00000029528
ENSG00000198959,ENSMUSG00000037820
ENSG00000103266,ENSMUSG00000039615
ENSG00000141682,ENSMUSG00000024521
ENSG00000078674,ENSMUSG00000031592
ENSG00000115839,ENSMUSG00000036104
ENSG00000099246,ENSMUSG00000073639
ENSG00000001626,ENSMUSG00000041301
ENSG00000164938,ENSMUSG00000028211
ENSG00000204977,ENSMUSG00000035235
ENSG00000103769,ENSMUSG00000004771
ENSG00000112210,ENSMUSG00000004768
ENSG00000138069,ENSMUSG00000020149
ENSG00000144566,ENSMUSG00000017831
ENSG00000166128,ENSMUSG00000036943
ENSG00000174903,ENSMUSG00000024870
ENSG00000075785,ENSMUSG00000079477
ENSG00000111540,ENSMUSG00000000711
ENSG00000108774,ENSMUSG00000019173
ENSG00000169228,ENSMUSG00000034789
ENSG00000167461,ENSMUSG00000003037
ENSG00000185236,ENSMUSG00000077450
ENSG00000172007,ENSMUSG00000027739
ENSG00000123595,ENSMUSG00000079316
ENSG00000132698,ENSMUSG00000008601
ENSG00000168118,ENSMUSG00000019478
ENSG00000167578,ENSMUSG00000053291
ENSG00000155313,ENSMUSG00000022867
ENSG00000160201,ENSMUSG00000061613
ENSG00000138592,ENSMUSG00000027363
ENSG00000187555,ENSMUSG00000022710
ENSG00000102226,ENSMUSG00000031066
ENSG00000103194,ENSMUSG00000031826
ENSG00000155629,ENSMUSG00000025017
ENSG00000126467,ENSMUSG00000059891
ENSG00000185189,ENSMUSG00000075590
ENSG00000119638,ENSMUSG00000034290
ENSG00000170950,ENSMUSG00000031233
ENSG00000103202,ENSMUSG00000024177
ENSG00000172680,ENSMUSG00000078365
ENSG00000104365,ENSMUSG00000031537
ENSG00000170777,ENSMUSG00000024815
ENSG00000106683,ENSMUSG00000029674
ENSG00000168237,ENSMUSG00000020258
ENSG00000072062,ENSMUSG00000005469
ENSG00000198796,ENSMUSG00000032845
ENSG00000114739,ENSMUSG00000061393
ENSG00000007047,ENSMUSG00000030397
ENSG00000095015,ENSMUSG00000021754
ENSG00000074590,ENSMUSG00000020032
ENSG00000126432,ENSMUSG00000024953
ENSG00000253729,ENSMUSG00000022672
ENSG00000140057,ENSMUSG00000041323
ENSG00000171132,ENSMUSG00000045038
ENSG00000158985,ENSMUSG00000052298
ENSG00000141639,ENSMUSG00000024558
ENSG00000066056,ENSMUSG00000033191
ENSG00000141293,ENSMUSG00000057058
ENSG00000179335,ENSMUSG00000032316
ENSG00000136267,ENSMUSG00000036095
ENSG00000110721,ENSMUSG00000024843
ENSG00000102010,ENSMUSG00000031377
ENSG00000115966,ENSMUSG00000027104
ENSG00000162772,ENSMUSG00000026628
ENSG00000128272,ENSMUSG00000042406
ENSG00000118217,ENSMUSG00000026663
ENSG00000118260,ENSMUSG00000025958
ENSG00000160741,ENSMUSG00000027936
ENSG00000175197,ENSMUSG00000025408
ENSG00000101412,ENSMUSG00000027490
ENSG00000144895,ENSMUSG00000027810
ENSG00000116016,ENSMUSG00000024140
ENSG00000140009,ENSMUSG00000021055
ENSG00000150907,ENSMUSG00000044167
ENSG00000118689,ENSMUSG00000048756
ENSG00000135547,ENSMUSG00000019789
ENSG00000185122,ENSMUSG00000022556
ENSG00000162761,ENSMUSG00000026686
ENSG00000136944,ENSMUSG00000038765
ENSG00000100030,ENSMUSG00000063358
ENSG00000102882,ENSMUSG00000063065
ENSG00000068305,ENSMUSG00000030557
ENSG00000160877,ENSMUSG00000001910
ENSG00000082641,ENSMUSG00000038615
ENSG00000116044,ENSMUSG00000015839
ENSG00000106459,ENSMUSG00000058440
