Hallmark,Subprocess,Gene Symbol,Spearman,p-value,Experiment,Species
Autophagy,Autophagy core,Paqr3,-0.5727183617812178,5.986858370490966e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Slamf1,-0.2323147752500294,0.1338489354367374,Reprogramming-4,Mouse
Autophagy,Autophagy core,Itpr3,-0.3610263098255018,0.017383980518731,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pink1,-0.0147004922708788,0.9254571055646428,Reprogramming-4,Mouse
Autophagy,Autophagy core,Stk38,0.0190618217019826,0.9034341293038548,Reprogramming-4,Mouse
Autophagy,Autophagy core,Nedd4,0.2201678683329396,0.1559950698019903,Reprogramming-4,Mouse
Autophagy,Autophagy core,Gabarapl1,-0.5871875196981607,3.4868655467269856e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg3,-0.5107269682613312,0.0004663565053058,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg7,-0.2155062409322454,0.1651682615004288,Reprogramming-4,Mouse
Autophagy,Autophagy core,Gabarapl2,0.7855154718234677,4.4304716731385084e-10,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg4b,-0.1391742644747163,0.3734245812901251,Reprogramming-4,Mouse
Autophagy,Autophagy core,Map1lc3a,-0.2010370830153024,0.1961194387355269,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg4c,0.0091122750213165,0.9537537436534292,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg4d,0.8812839013382479,6.290509259526407e-15,Reprogramming-4,Mouse
Autophagy,Autophagy core,Gabarap,-0.5926006497793065,2.8293904763533847e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg2b,0.2258030755345143,0.1454098568916876,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg2a,0.6778558802257273,5.93021182399682e-07,Reprogramming-4,Mouse
Autophagy,Autophagy core,Wipi2,0.1898526820117142,0.2226963442309741,Reprogramming-4,Mouse
Autophagy,Autophagy core,Wipi1,-0.4681600076327448,0.0015458744022831,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg9a,-0.6052319774131504,1.7118410295850525e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg9b,0.7221717676108804,4.596269144543688e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Wdr45b,0.3306969998240785,0.0303131390531006,Reprogramming-4,Mouse
Autophagy,Autophagy core,Wdr45,0.3224676945460542,0.0349486213140168,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg12,-0.2845157774926344,0.0644375270038252,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg16l1,0.4690432994700699,0.0015102196768068,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg5,-0.601679394928167,1.9759666259162937e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg10,-0.5854317407799249,3.728384175543129e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Atg16l2,0.4075862261894403,0.0066701339509943,Reprogramming-4,Mouse
Autophagy,Autophagy core,Optn,-0.3690296721474564,0.0148826233468723,Reprogramming-4,Mouse
Autophagy,Autophagy core,Nbr1,0.7342140687959856,2.1053635636115593e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tax1bp1,-0.0891915631875957,0.56951265754666,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cbl,0.5671848875099963,7.312998471704561e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Calcoco2,0.9272967631196936,4.239827275470917e-19,Reprogramming-4,Mouse
Autophagy,Autophagy core,Bnip3l,-0.3487011961949026,0.0219252122592266,Reprogramming-4,Mouse
Autophagy,Autophagy core,Wdfy3,-0.3821695043459215,0.0114381698591416,Reprogramming-4,Mouse
Autophagy,Autophagy core,Bag3,-0.6093123167245973,1.4486349403530092e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tecpr1,-0.4175926020658719,0.0053329309909788,Reprogramming-4,Mouse
Autophagy,Autophagy core,Hdac6,0.7241961176737165,4.042400875314861e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Nedd4l,-0.1829139376829665,0.2403791744586005,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cul4a,-0.546709830663194,0.0001487788749275,Reprogramming-4,Mouse
Autophagy,Autophagy core,Capn2,-0.6787998916926897,5.641571954075913e-07,Reprogramming-4,Mouse
Autophagy,Autophagy core,Capns1,-0.3606435423214459,0.01751200119795,Reprogramming-4,Mouse
Autophagy,Autophagy core,Fez1,-0.4577899348508272,0.0020237958208255,Reprogramming-4,Mouse
Autophagy,Autophagy core,Stk39,-0.5300764519413382,0.0002563392692876,Reprogramming-4,Mouse
Autophagy,Autophagy core,Wnk1,0.5698642600383875,6.640693727787208e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cul4b,0.815363843356618,2.7850949819892532e-11,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cul3,-0.0594077594896704,0.7051201099758572,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cul5,0.3236804215493902,0.0342310012251263,Reprogramming-4,Mouse
Autophagy,Autophagy core,Capn1,-0.3908351331095932,0.0095604519436341,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ppp2r2a,-0.0627738706651635,0.6892295046120984,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cisd2,-0.5151674066002846,0.0004077916494551,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cybb,-0.1840553067499924,0.2374069147979059,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ucp2,0.8799059383236466,7.862246956317616e-15,Reprogramming-4,Mouse
Autophagy,Autophagy core,C9orf72,-0.6100782268656962,1.403579049924531e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Herc1,-0.2909033030824654,0.0584208945048649,Reprogramming-4,Mouse
Autophagy,Autophagy core,Mst1,0.6339746330430792,5.016266959473755e-06,Reprogramming-4,Mouse
Autophagy,Autophagy core,Mapk8,-0.3206947222966878,0.0360199747122613,Reprogramming-4,Mouse
Autophagy,Autophagy core,Mcoln3,-0.3834692446313399,0.0111378983657666,Reprogramming-4,Mouse
Autophagy,Autophagy core,Dram1,-0.5248733349835745,0.0003021617486082,Reprogramming-4,Mouse
Autophagy,Autophagy core,Hdac1,0.8347393728450534,3.489816447215474e-12,Reprogramming-4,Mouse
Autophagy,Autophagy core,Hdac2,0.513789339529575,0.0004252167065219,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tbk1,-0.5097316975991522,0.0004804764271304,Reprogramming-4,Mouse
Autophagy,Autophagy core,Nox4,-0.6194347600316729,9.476942318844344e-06,Reprogramming-4,Mouse
Autophagy,Autophagy core,Dapk1,0.2533155139489723,0.1012112813487565,Reprogramming-4,Mouse
Autophagy,Autophagy core,Dapk2,0.6149875814964296,1.1439923282696248e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cast,-0.653613789925813,2.012845162939402e-06,Reprogramming-4,Mouse
Autophagy,Autophagy core,Picalm,-0.6673168665710134,1.0227227965189236e-06,Reprogramming-4,Mouse
Autophagy,Autophagy core,Smurf1,-0.5441422837658326,0.0001621149676768,Reprogramming-4,Mouse
Autophagy,Autophagy core,Scoc,-0.7272857154018939,3.3157569099126634e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Wac,-0.4525842967956672,0.0023096261316472,Reprogramming-4,Mouse
Autophagy,Autophagy core,Myo6,-0.525636181257832,0.0002950120579416,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pim2,-0.1854125789646661,0.2339050833294636,Reprogramming-4,Mouse
Autophagy,Autophagy core,Abl2,0.5828783551762873,4.1069533255997915e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Abl1,0.3445803163183079,0.023649474273808,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tmem59,-0.6122748994877785,1.2813913307936527e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ei24,-0.1633651707310476,0.2952182592376666,Reprogramming-4,Mouse
Autophagy,Autophagy core,Mtdh,-0.2471147006184732,0.1101370002219232,Reprogramming-4,Mouse
Autophagy,Autophagy core,Eva1a,-0.3251481060928827,0.0333787712778569,Reprogramming-4,Mouse
Autophagy,Autophagy core,Supt20,-0.3477825541851684,0.0223001778183596,Reprogramming-4,Mouse
Autophagy,Autophagy core,Dapk3,0.2972684666216373,0.0528808423637345,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tmem74,-0.7878232353047041,3.6345730409614444e-10,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tm9sf1,-0.5433001952569096,0.0001667189671419,Reprogramming-4,Mouse
Autophagy,Autophagy core,Zfyve1,-0.2948186621065993,0.0549607899058094,Reprogramming-4,Mouse
Autophagy,Autophagy core,Hdac10,-0.3386218678172059,0.0263417616813751,Reprogramming-4,Mouse
Autophagy,Autophagy core,Snap29,-0.5187265214965225,0.0003657189691307,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pxn,0.0102589437486161,0.9479417295439736,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tgm2,0.2317361958443718,0.1348475412885671,Reprogramming-4,Mouse
Autophagy,Autophagy core,Stub1,0.0754051982990074,0.6308152439516779,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pmaip1,0.2415445337827162,0.1186543914528527,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pcm1,0.0792328733395662,0.6135238091617439,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab3gap1,-0.5184203074932778,0.0003691787182644,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab18,-0.5194733917746895,0.0003574025020013,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cftr,-0.5164526872656384,0.0003921211576522,Reprogramming-4,Mouse
Autophagy,Autophagy core,Trp53inp1,0.5120663669259502,0.000447942639069,Reprogramming-4,Mouse
Autophagy,Autophagy core,Trim13,0.6084166117183031,1.5030074201443575e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab11a,-0.5906868122590272,3.047625126849076e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab23,0.2116704297428991,0.1730046477141976,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab1a,-0.4234174129866095,0.004667242717688,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab5a,0.187302282693951,0.229088507105755,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab8b,-0.6309105836786545,5.75149363600393e-06,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab1b,-0.3077566922016435,0.0446806122673619,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab7,-0.4086425873300527,0.0065164675430283,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab5b,-0.4743995890917912,0.0013092060287827,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab5c,0.0631637924318779,0.6873971245135846,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab24,-0.4645792636080427,0.0016981753480596,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab8a,0.2003556402248394,0.1976716145154564,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab11b,-0.4943825082385688,0.0007525588568911,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab33b,-0.6171743235396937,1.0432287992634985e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab9,0.7335633394716787,2.1984229311052138e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab25,0.7334536622927172,2.2144806261055126e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab4a,0.7412955349722672,1.3041895875530641e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Rab4b,-0.4063613239319213,0.0068522346814398,Reprogramming-4,Mouse
Autophagy,Autophagy core,Usp25,-0.5548597738793971,0.0001127648768275,Reprogramming-4,Mouse
Autophagy,Autophagy core,U2af1,0.8828149713544714,4.893841958266153e-15,Reprogramming-4,Mouse
Autophagy,Autophagy core,Usp8,0.2122143161151631,0.1718775244561595,Reprogramming-4,Mouse
Autophagy,Autophagy core,Usp7,0.9554642436242764,2.4037037002522258e-23,Reprogramming-4,Mouse
Autophagy,Autophagy core,Usp11,0.2565307812182478,0.0968070676524141,Reprogramming-4,Mouse
Autophagy,Autophagy core,Usp10,0.8784514218082342,9.9200383212194e-15,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pik3ap1,-0.3820034226917204,0.0114770325520868,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tsks,0.6039874326880313,1.8004423745001506e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Nrbp2,-0.2609360172896629,0.0910142846267647,Reprogramming-4,Mouse
Autophagy,Autophagy core,Nek9,-0.4957026323397119,0.0007246636771834,Reprogramming-4,Mouse
Autophagy,Autophagy core,Pgk2,0.1954028620561287,0.2092133629526597,Reprogramming-4,Mouse
Autophagy,Autophagy core,Nme4,0.7557452061758386,4.671718663341049e-09,Reprogramming-4,Mouse
Autophagy,Autophagy core,Mos,-0.3517614678073555,0.0207139700510039,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ikbkb,-0.4925452242191006,0.0007929787542613,Reprogramming-4,Mouse
Autophagy,Autophagy core,Trpd52l3,0.4050152289013349,0.0070572962174056,Reprogramming-4,Mouse
Autophagy,Autophagy core,Limk1,0.549869523934239,0.0001337347223947,Reprogramming-4,Mouse
Autophagy,Autophagy core,Glyctk,0.6924021437498846,2.692445872594465e-07,Reprogramming-4,Mouse
Autophagy,Autophagy core,Prkaca,-0.4949370684287626,0.0007407257979303,Reprogramming-4,Mouse
Autophagy,Autophagy core,Alpk2,-0.2563181905197765,0.0970936352781695,Reprogramming-4,Mouse
Autophagy,Autophagy core,Acvr2b,0.8128461910773846,3.583581159465279e-11,Reprogramming-4,Mouse
Autophagy,Autophagy core,Mark4,-0.4405004603112843,0.0031141672870078,Reprogramming-4,Mouse
Autophagy,Autophagy core,Map3k1,0.8929965869623576,8.389632120595363e-16,Reprogramming-4,Mouse
Autophagy,Autophagy core,Nuak1,-0.2974215794038272,0.052752978112777,Reprogramming-4,Mouse
Autophagy,Autophagy core,Prdx5,-0.6510109708982331,2.280351938379314e-06,Reprogramming-4,Mouse
Autophagy,Autophagy core,Prkdc,0.6447335838317168,3.0662390492780043e-06,Reprogramming-4,Mouse
Autophagy,Autophagy core,Ak7,0.9266222324940674,5.090391779214783e-19,Reprogramming-4,Mouse
Autophagy,Autophagy core,Prkce,-0.4474293369356297,0.0026271600542783,Reprogramming-4,Mouse
Autophagy,Autophagy core,Cdc42se2,0.282865185497292,0.0660697100850982,Reprogramming-4,Mouse
Autophagy,Autophagy core,Mapk4,-0.1267008272621194,0.4181579611817189,Reprogramming-4,Mouse
Autophagy,Autophagy core,Tie1,0.7200432904809396,5.2543615464836346e-08,Reprogramming-4,Mouse
Autophagy,Autophagy core,Skap1,-0.3768017319310815,0.0127526328675364,Reprogramming-4,Mouse
Autophagy,Autophagy core,Clk3,-0.459014790863806,0.0019612661197832,Reprogramming-4,Mouse
Autophagy,Autophagy core,Dgkb,-0.6158149105572619,1.104863149040821e-05,Reprogramming-4,Mouse
Autophagy,Autophagy core,Chka,0.7771239260046975,8.92327065721914e-10,Reprogramming-4,Mouse
Autophagy,Autophagy core,Bmx,-0.3773641893643766,0.0126091215137423,Reprogramming-4,Mouse
Autophagy,Autophagy downregulators,Bdnf,-0.7785774334688637,7.921318821440657e-10,Reprogramming-4,Mouse
Autophagy,Autophagy downregulators,Jun,-0.4404122901666903,0.0031208433423787,Reprogramming-4,Mouse
Autophagy,Autophagy downregulators,Junb,-0.5303061211146232,0.0002544694916475,Reprogramming-4,Mouse
Autophagy,Autophagy downregulators,Atf5,0.1709504213149925,0.2730538300647219,Reprogramming-4,Mouse
Autophagy,Autophagy downregulators,Keap1,0.0713478627560151,0.6493589196450708,Reprogramming-4,Mouse
Autophagy,Autophagy downregulators,Nr1h4,-0.3966721485398572,0.0084504461268808,Reprogramming-4,Mouse
Autophagy,Autophagy downregulators,Stat1,-0.5300764519413382,0.0002563392692876,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sirt1,0.8279261112728588,7.459246478746459e-12,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Trp53,0.8467582724724079,8.372844215054863e-13,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Cebpb,-0.0029859247331433,0.9848386524481194,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Irf1,0.0907993081034236,0.562545897523955,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Nfkb1,-0.3899016998465101,0.0097490858946571,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Rela,-0.5466685492926014,0.0001489851853668,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sirt3,0.4249682032136322,0.0045027122118838,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Foxo4,0.6580270262638499,1.6245534475339711e-06,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Stat3,-0.4917796892109888,0.0008103849107077,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Fos,-0.6584078493834803,1.5945242145301549e-06,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Egr1,-0.8501933400505539,5.444113641043698e-13,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Hif1a,-0.5468216562942237,0.0001482213073992,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Tfeb,0.782989206296699,5.487749247691928e-10,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Yy1,0.7242726711745276,4.0227306485479976e-08,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Tfe3,0.4871864791623184,0.0009221742697403,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Mitf,0.8182051725214409,2.0858388570886202e-11,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Atf2,-0.0667571730347843,0.6705948893502929,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Atf3,-0.3542799301194747,0.01975976761778,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Atf4,0.652719790475426,2.1012702998413155e-06,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Atf6,-0.2357847824984193,0.1279750880261601,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Creb1,-0.1221793872946354,0.4350930473282801,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Crtc2,-0.2972572436497929,0.052890224449503,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Ddit3,-0.3917277622837894,0.0093830028246694,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,E2f1,0.7887137201361468,3.365013564340645e-10,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Eif2a,0.7422627438651538,1.2201535925227032e-08,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Epas1,0.2788078499542997,0.0702213365901879,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Esr2,-0.6261924558237162,7.079520545645448e-06,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Foxo1,0.4032377367459799,0.0073361872350778,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Foxo3,0.6483560761830147,2.586723743246601e-06,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Hey2,0.1224523316000678,0.4340600517292574,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Hsf1,0.5419836201518349,0.0001741547022089,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Lmx1a,0.0592670719440819,0.7057870231543357,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Lmx1b,-0.1801329185693819,0.2477266317382307,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Mapk1,-0.2451243095973826,0.113125405957431,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Mapk3,-0.4163136547742631,0.0054896767658856,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Mef2a,-0.6185756400470845,9.830140690177926e-06,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Nacc1,0.7897259143680824,3.0814267739118767e-10,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Nfe2l1,-0.4051211262927386,0.0070409740026783,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Nfe2l2,-0.3582703837962995,0.0183236161327557,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Nrf1,0.883231084062279,4.568298223952807e-15,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Ppara,-0.3871339396246271,0.0103272960621388,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Pparg,-0.5933205777572812,2.751066876787004e-05,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Ppargc1a,-0.5200065184009892,0.0003515706045134,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Ppargc1b,0.5091399065527172,0.0004890529485885,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Rara,0.3594952398092783,0.0179008468858642,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Relb,0.4019824327594805,0.0075388344566521,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sirt2,-0.5500369033282931,0.0001329776742806,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sirt4,0.0909097015196502,0.5620689928445795,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sirt5,-0.2945595757892263,0.0551845472618037,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sirt6,0.8576494579659351,2.058960633403291e-13,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sirt7,-0.4304000307357313,0.003965630682129,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sox2,0.8921040062424744,9.86077963306194e-16,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Sp1,0.8467902419010894,8.339772447705609e-13,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Tfec,-0.5382275718774059,0.0001970466934244,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Tnfaip3,-0.5051948959591338,0.0005498237349066,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Xbp1,-0.4051976797935498,0.0070291949598893,Reprogramming-4,Mouse
Autophagy,Autophagy upregulators,Zeb1,-0.4575602743483936,0.002035714174164,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Atg14,0.9075599765952312,4.817499819180692e-17,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Tecpr1,-0.4175926020658719,0.0053329309909788,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Snap29,-0.5187265214965225,0.0003657189691307,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Rab7,-0.4086425873300527,0.0065164675430283,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Vamp3,-0.5948207013028306,2.594196930444514e-05,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Stx17,-0.6048948847598229,1.735435877595168e-05,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Ykt6,-0.5508789918372161,0.0001292275657107,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Vti1a,-0.4271242326382802,0.0042823825946103,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Vps33a,-0.3641296930981956,0.0163748909115941,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Vps41,-0.1790586383973385,0.2506049793712389,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Vps16,0.2614499470262998,0.0903563494951147,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Vps39,-0.285631895175207,0.0633521338123428,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Vps18,0.0599413911351501,0.7025924768692045,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Epg5,-0.2226343912013118,0.1512947322740009,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Gorasp2,-0.4706509229871046,0.0014471936515928,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Birc6,0.525712737648927,0.0002943030286529,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Rufy4,0.3980857496974609,0.008198961406132,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Arl8b,-0.4981336297783164,0.0006757031376719,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Rab20,-0.407892904237661,0.0066252024886266,Reprogramming-4,Mouse
Autophagy,Docking and fusion,Rab39,0.7458339545870545,9.516964399345732e-09,Reprogramming-4,Mouse
Autophagy,Lysosome,Glb1,0.6061506194228845,1.6490252526574646e-05,Reprogramming-4,Mouse
Autophagy,Lysosome,Ctsb,-0.4639142149157211,0.0017278806131219,Reprogramming-4,Mouse
Autophagy,Lysosome,Ctsd,-0.4705743694862934,0.0014501411288808,Reprogramming-4,Mouse
Autophagy,Lysosome,Ctsz,-0.5276832810914299,0.0002765732269949,Reprogramming-4,Mouse
Autophagy,Lysosome,Egf,-0.3564110543865438,0.0189814423908729,Reprogramming-4,Mouse
Autophagy,Lysosome,Man2b1,-0.4283330081761681,0.0041630198031395,Reprogramming-4,Mouse
Autophagy,Lysosome,Npc1,-0.1391029626194991,0.373671882405901,Reprogramming-4,Mouse
Autophagy,Lysosome,Npc2,-0.4164510444127925,0.005472648821548,Reprogramming-4,Mouse
Autophagy,Lysosome,Atp6v0a4,0.2311781501437461,0.1358159488431974,Reprogramming-4,Mouse
