,Subprocess,Hallmark,MedianSpearmanR,MedianPValue,MedianFDR,N_Genes,N_Significant
40,Mitochondrial proteostasis,Proteostasis,0.06722001966527692,0.09071803348148719,0.15390507658893943,96,40.0
41,Nuclear proteostasis,Proteostasis,0.16380615715628824,0.016774196473200567,0.036434495599055976,108,57.0
42,PN regulation,Proteostasis,-0.04200403698409305,0.06765545050178183,0.11947626156896315,30,11.0
43,Translation,Proteostasis,0.08532614495834961,0.06472314063701413,0.11643037252004643,494,202.0
44,Ubiquitin Proteasome System,Proteostasis,0.04015701897032419,0.044403613707975687,0.08416535306439261,1206,549.0
45,Cell cycle arrest,Senescence,0.0022921244295013438,3.029992553102464e-05,0.00013613189836067077,20,16.0
46,Cell surface markers,Senescence,,,,1,
47,Changes in morphology,Senescence,0.11111825791649363,0.12494358812283948,0.20099285464245378,6,2.0
48,DNA damage response,Senescence,0.07180974061028539,0.13787004047653978,0.21792957672107496,11,5.0
49,Increased lysosomal content,Senescence,-0.13603387214629253,0.059919281961240446,0.10910122606330906,3,1.0
50,Metabolic adaptations,Senescence,0.2186656990354754,0.004110967577042161,0.009848634583968799,6,4.0
51,Nuclear changes,Senescence,0.10143028839153852,0.00032838877527401815,0.0010735905213941606,12,8.0
52,Other,Senescence,-0.09765363981800557,0.0017344841565772706,0.00505756888429356,119,72.0
53,SASP,Senescence,0.021792553943852003,0.006970797806130996,0.017098856136658028,84,50.0
54,SASP_Intracellular,Senescence,0.04221632965857345,0.00025655326359187773,0.0009342660556754681,19,12.0
55,SASP_Secreted,Senescence,-0.10252015031948657,0.014096673492646344,0.031385177603948176,70,37.0
56,SASP_Transmembrane,Senescence,-0.20781121927700333,0.00038354451417643405,0.0013454498036982847,19,14.0
57,Upregulation of anti-apoptotic pathways,Senescence,0.009574194708468722,0.0011808454511478207,0.003595489736184237,4,4.0
