,Hallmark,Subprocess,Gene Symbol,Spearman,p-value,Experiment,Species
111,Autophagy,Autophagy core,RHOQ,0.32864014183721835,0.0037494274708346,Ageing-Skin,Mouse
112,Autophagy,Autophagy core,CAPN1,0.20278029911797585,0.07895172300295929,Ageing-Skin,Mouse
113,Autophagy,Autophagy core,PRDX5,0.26019921404274055,0.023206161852791483,Ageing-Skin,Mouse
114,Autophagy,Autophagy core,ABL1,0.2304040470832169,0.045246623054509896,Ageing-Skin,Mouse
115,Autophagy,Autophagy core,TRAF6,0.20341248439479231,0.07800252229006535,Ageing-Skin,Mouse
116,Autophagy,Autophagy core,MAP1LC3A,0.20683453078451622,0.07302135300865276,Ageing-Skin,Mouse
117,Autophagy,Autophagy core,PINK1,0.25934713823485744,0.02367738805890234,Ageing-Skin,Mouse
118,Autophagy,Autophagy core,PINK1,0.25934713823485744,0.02367738805890234,Ageing-Skin,Mouse
119,Autophagy,Autophagy core,BAG3,0.268074043686563,0.019216076987772782,Ageing-Skin,Mouse
120,Autophagy,Autophagy core,PIM2,-0.20043021906720163,0.08256122862037434,Ageing-Skin,Mouse
121,Autophagy,Autophagy core,PGK2,-0.28029171131895064,0.014190507491725929,Ageing-Skin,Mouse
122,Autophagy,Autophagy core,CUL5,0.20073256854741814,0.08208963360755471,Ageing-Skin,Mouse
123,Autophagy,Autophagy core,NEDD4,0.23048650603236684,0.04516752026548744,Ageing-Skin,Mouse
124,Autophagy,Autophagy core,ATG9A,0.23576387877796515,0.04033735943268306,Ageing-Skin,Mouse
125,Autophagy,Autophagy core,TIE1,0.2705203258446789,0.018102858493100244,Ageing-Skin,Mouse
126,Autophagy,Autophagy core,UCP2,-0.20900594977879883,0.06999510478431704,Ageing-Skin,Mouse
127,Autophagy,Autophagy core,NEK9,0.4022484971117611,0.0003157489476664957,Ageing-Skin,Mouse
128,Autophagy,Autophagy core,RAB3GAP1,0.21663340257517136,0.06015523858471383,Ageing-Skin,Mouse
129,Autophagy,Autophagy core,TGM2,0.2707539595339371,0.017999493997505472,Ageing-Skin,Mouse
130,Autophagy,Autophagy core,TGM2,0.2707539595339371,0.017999493997505472,Ageing-Skin,Mouse
131,Autophagy,Autophagy core,SMURF1,0.34179234422663907,0.0025122499570446027,Ageing-Skin,Mouse
132,Autophagy,Autophagy core,SMURF1,0.34179234422663907,0.0025122499570446027,Ageing-Skin,Mouse
133,Autophagy,Autophagy core,TLR4,0.2464423126928867,0.03186932350779647,Ageing-Skin,Mouse
134,Autophagy,Autophagy core,WDR45,0.24182461154048815,0.03532753338520535,Ageing-Skin,Mouse
135,Autophagy,Autophagy core,STUB1,0.21560266571079667,0.06141529665379519,Ageing-Skin,Mouse
136,Autophagy,Autophagy core,CFTR,-0.21921711631520382,0.05708878653244621,Ageing-Skin,Mouse
137,Autophagy,Autophagy core,AK7,-0.237110708280748,0.039175872816816656,Ageing-Skin,Mouse
138,Autophagy,Autophagy core,ZFYVE1,0.24045029572132195,0.036415390826664076,Ageing-Skin,Mouse
139,Autophagy,Autophagy core,MAPK14,0.20878605924773222,0.07029689569299204,Ageing-Skin,Mouse
140,Autophagy,Autophagy core,MAPK14,0.20878605924773222,0.07029689569299204,Ageing-Skin,Mouse
141,Autophagy,Autophagy core,TMEM74,-0.21630356677857146,0.06055615222989633,Ageing-Skin,Mouse
142,Autophagy,Autophagy core,TMEM74,-0.21630356677857146,0.06055615222989633,Ageing-Skin,Mouse
143,Autophagy,Autophagy upregulators,PPARG,0.3979881180723458,0.0003703469498530859,Ageing-Skin,Mouse
144,Autophagy,Autophagy upregulators,NACC1,0.23114617762556666,0.04453880038608514,Ageing-Skin,Mouse
145,Autophagy,Autophagy upregulators,RELB,0.25460574865873403,0.02645063285485634,Ageing-Skin,Mouse
146,Autophagy,Autophagy upregulators,SIRT2,0.26434964781662257,0.021023265496833882,Ageing-Skin,Mouse
147,Autophagy,Autophagy upregulators,SIRT2,0.26434964781662257,0.021023265496833882,Ageing-Skin,Mouse
148,Autophagy,Autophagy upregulators,NFE2L2,0.22008293528127856,0.056090153671539585,Ageing-Skin,Mouse
149,Autophagy,Autophagy upregulators,HEY2,-0.21652345730963804,0.06028863625933014,Ageing-Skin,Mouse
150,Autophagy,Autophagy upregulators,TNFAIP3,0.21347247619108903,0.06408726347544547,Ageing-Skin,Mouse
151,Autophagy,Autophagy upregulators,PPARA,0.3155841415551392,0.005487218957345242,Ageing-Skin,Mouse
152,Autophagy,Autophagy upregulators,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
153,Autophagy,Autophagy upregulators,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
154,Autophagy,Autophagy upregulators,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
155,Autophagy,Autophagy upregulators,EPAS1,0.3181678552951717,0.005095478539757707,Ageing-Skin,Mouse
156,Autophagy,Autophagy upregulators,ATF3,0.3057577834481008,0.0072310788112598945,Ageing-Skin,Mouse
157,Autophagy,Autophagy upregulators,PPARGC1A,0.23192953764249138,0.04380160698292519,Ageing-Skin,Mouse
158,Autophagy,Autophagy upregulators,MEF2A,0.30711835610907534,0.006963720429631123,Ageing-Skin,Mouse
159,Autophagy,Autophagy upregulators,PPARGC1B,0.3144297162670396,0.005670695028238656,Ageing-Skin,Mouse
160,Autophagy,Autophagy upregulators,NFE2L1,0.32747197339092704,0.0038819803790489903,Ageing-Skin,Mouse
161,Autophagy,Autophagy upregulators,FOXO3,-0.23518666613391534,0.04084382207074306,Ageing-Skin,Mouse
162,Autophagy,Autophagy upregulators,SIRT5,0.2406152136196219,0.03628338931933693,Ageing-Skin,Mouse
163,Autophagy,Autophagy upregulators,SIRT5,0.2406152136196219,0.03628338931933693,Ageing-Skin,Mouse
164,Autophagy,Autophagy downregulators,KEAP1,0.2604191045738071,0.02308585799148377,Ageing-Skin,Mouse
165,Autophagy,Autophagy downregulators,NR1H4,0.27678720598007683,0.015500178315741752,Ageing-Skin,Mouse
166,Autophagy,Mitophagy,RAB5B,0.2658201657431304,0.02029310495477567,Ageing-Skin,Mouse
167,Autophagy,Mitophagy,RAB5B,0.2658201657431304,0.02029310495477567,Ageing-Skin,Mouse
168,Autophagy,Mitophagy,CALCOCO2,-0.26532541204823057,0.020536309252846045,Ageing-Skin,Mouse
169,Autophagy,Mitophagy,CALCOCO2,-0.26532541204823057,0.020536309252846045,Ageing-Skin,Mouse
170,Autophagy,Mitophagy,BCL2L13,0.26347008569235614,0.021470623785790493,Ageing-Skin,Mouse
171,Autophagy,Mitophagy,SIRT2,0.26434964781662257,0.021023265496833882,Ageing-Skin,Mouse
172,Autophagy,Mitophagy,SIRT2,0.26434964781662257,0.021023265496833882,Ageing-Skin,Mouse
173,Autophagy,Mitophagy,RAB5A,0.2355852177214735,0.040493561227831515,Ageing-Skin,Mouse
174,Autophagy,Mitophagy,RAB5A,0.2355852177214735,0.040493561227831515,Ageing-Skin,Mouse
175,Autophagy,Mitophagy,MIEF2,0.3363500535827408,0.0029711559633185548,Ageing-Skin,Mouse
176,Autophagy,Mitophagy,SREBF1,0.3428780537237804,0.0024286939666950053,Ageing-Skin,Mouse
177,Autophagy,Mitophagy,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
178,Autophagy,Mitophagy,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
179,Autophagy,Mitophagy,TFEB,0.22214440901002788,0.05376972639358475,Ageing-Skin,Mouse
180,Autophagy,Mitophagy,LRPPRC,0.2649268604606724,0.020734030308275815,Ageing-Skin,Mouse
181,Autophagy,Mitophagy,MFN1,0.29358134529028806,0.010054366296178315,Ageing-Skin,Mouse
182,Autophagy,Mitophagy,PINK1,0.25934713823485744,0.02367738805890234,Ageing-Skin,Mouse
183,Autophagy,Mitophagy,PINK1,0.25934713823485744,0.02367738805890234,Ageing-Skin,Mouse
184,Autophagy,Mitophagy,PARK7,0.2979654127534283,0.008943104541659308,Ageing-Skin,Mouse
185,Autophagy,Mitophagy,MFN2,0.3813176671858595,0.0006774865320025096,Ageing-Skin,Mouse
186,Autophagy,Mitophagy,NIPSNAP2,0.23433459032603227,0.041601095885445916,Ageing-Skin,Mouse
187,Autophagy,Mitophagy,USP30,0.2634151130595895,0.021498851219122393,Ageing-Skin,Mouse
188,Autophagy,Mitophagy,FLCN,0.2535200391615927,0.027122964774277142,Ageing-Skin,Mouse
189,Autophagy,Mitophagy,FLCN,0.2535200391615927,0.027122964774277142,Ageing-Skin,Mouse
190,Autophagy,Mitophagy,FNIP1,0.3383840409951068,0.0027915433112380055,Ageing-Skin,Mouse
191,Autophagy,Mitophagy,FNIP1,0.3383840409951068,0.0027915433112380055,Ageing-Skin,Mouse
192,Autophagy,Mitophagy,BAG4,0.2798794165732008,0.014339448231453205,Ageing-Skin,Mouse
193,Autophagy,Mitophagy,TGM2,0.2707539595339371,0.017999493997505472,Ageing-Skin,Mouse
194,Autophagy,Mitophagy,TGM2,0.2707539595339371,0.017999493997505472,Ageing-Skin,Mouse
195,Autophagy,Mitophagy,OPA1,0.3368173209612573,0.0029290038205596453,Ageing-Skin,Mouse
196,Autophagy,Mitophagy,TBC1D17,0.25151353806561005,0.02840355214151449,Ageing-Skin,Mouse
197,Autophagy,Mitophagy,SMURF1,0.34179234422663907,0.0025122499570446027,Ageing-Skin,Mouse
198,Autophagy,Mitophagy,SMURF1,0.34179234422663907,0.0025122499570446027,Ageing-Skin,Mouse
199,Autophagy,Mitophagy,MUL1,0.27194961429661174,0.0174784014758832,Ageing-Skin,Mouse
200,Autophagy,Mitophagy,MAPK14,0.20878605924773222,0.07029689569299204,Ageing-Skin,Mouse
201,Autophagy,Mitophagy,MAPK14,0.20878605924773222,0.07029689569299204,Ageing-Skin,Mouse
202,Autophagy,Mitophagy,SIRT5,0.2406152136196219,0.03628338931933693,Ageing-Skin,Mouse
203,Autophagy,Mitophagy,SIRT5,0.2406152136196219,0.03628338931933693,Ageing-Skin,Mouse
204,Autophagy,Mitophagy,HTRA2,0.20954193294827364,0.06926385185855938,Ageing-Skin,Mouse
205,Autophagy,Mitophagy,BNIP3,0.3368035778030657,0.0029302359193521237,Ageing-Skin,Mouse
206,Autophagy,Docking and fusion,VPS41,0.21403594567694717,0.06337150395573267,Ageing-Skin,Mouse
207,Autophagy,Docking and fusion,RUFY4,0.2473493611335364,0.031224573554123322,Ageing-Skin,Mouse
208,Autophagy,Lysosome,NAGLU,0.21448946989727205,0.06280011645246314,Ageing-Skin,Mouse
209,Autophagy,Lysosome,NCSTN,0.20111737697678472,0.08149251947129847,Ageing-Skin,Mouse
210,Autophagy,Lysosome,MCOLN1,0.30820406560621666,0.006756652084242318,Ageing-Skin,Mouse
211,Autophagy,Lysosome,SGSH,0.3079704319169584,0.006800747596523961,Ageing-Skin,Mouse
212,Autophagy,Lysosome,ABCA5,0.20875857293134892,0.07033469297314818,Ageing-Skin,Mouse
213,Autophagy,Lysosome,PSEN1,0.22189703216257795,0.05404396312800316,Ageing-Skin,Mouse
214,Autophagy,Lysosome,GPR137B,0.23260295239388282,0.04317597345928974,Ageing-Skin,Mouse
215,Autophagy,Lysosome,DAB2,0.2259924933036933,0.0496484065859231,Ageing-Skin,Mouse
216,Autophagy,Lysosome,NAGA,0.2778866586354098,0.015078519291277966,Ageing-Skin,Mouse
217,Autophagy,Lysosome,SLC11A2,0.3096745835327245,0.006484842970465686,Ageing-Skin,Mouse
218,Autophagy,Lysosome,LIPA,0.2047868002139585,0.07597044076642946,Ageing-Skin,Mouse
219,Autophagy,Lysosome,HPS1,0.23584633772711514,0.04026543527742726,Ageing-Skin,Mouse
220,Autophagy,Lysosome,GAA,0.2707951890085121,0.01798130586667442,Ageing-Skin,Mouse
221,Autophagy,Lysosome,MFSD8,0.2865585914543487,0.012085854805180894,Ageing-Skin,Mouse
222,Autophagy,Lysosome,ABCA2,0.3502856159890863,0.0019220285672379188,Ageing-Skin,Mouse
223,Autophagy,Lysosome,DRAM2,0.2015983875134929,0.08075098731537053,Ageing-Skin,Mouse
224,Autophagy,Lysosome,EGF,0.22749049754658446,0.04811587368042255,Ageing-Skin,Mouse
225,Autophagy,Lysosome,LRBA,0.209486960315507,0.0693385681323942,Ageing-Skin,Mouse
226,Autophagy,Lysosome,FUCA1,0.2705890416356372,0.018072404447718928,Ageing-Skin,Mouse
227,Autophagy,Lysosome,TSPAN1,-0.28048411553363395,0.01412146059956435,Ageing-Skin,Mouse
228,Autophagy,Lysosome,MAN2B2,0.2688024310707211,0.01887864511233192,Ageing-Skin,Mouse
229,Autophagy,Lysosome,PLBD2,0.2721557616694867,0.017389880026411852,Ageing-Skin,Mouse
230,Autophagy,Lysosome,PCYOX1,0.3069396950525837,0.006998324636025654,Ageing-Skin,Mouse
231,Autophagy,Lysosome,TPP1,0.21120485508946477,0.06703413239233638,Ageing-Skin,Mouse
232,Autophagy,Lysosome,GLA,-0.21829632471636248,0.058166671637088385,Ageing-Skin,Mouse
233,Autophagy,Lysosome,AGA,0.27777671336987647,0.015120235067931026,Ageing-Skin,Mouse
234,Autophagy,Lysosome,VPS35,0.21332130145098074,0.0642804048802435,Ageing-Skin,Mouse
235,Autophagy,Lysosome,TPCN1,0.20293147385808416,0.0787239071542136,Ageing-Skin,Mouse
236,Autophagy,Lysosome,IDUA,0.26488563098609735,0.0207545766769834,Ageing-Skin,Mouse
237,Autophagy,Lysosome,SIDT2,0.2461399632126701,0.03208670925005112,Ageing-Skin,Mouse
238,Autophagy,Lysosome,CLCN7,0.28008556394607576,0.014264809890788604,Ageing-Skin,Mouse
239,Autophagy,Lysosome,RILP,0.34283682424920536,0.0024318209010746983,Ageing-Skin,Mouse
240,Autophagy,Lysosome,TMEM74,-0.21630356677857146,0.06055615222989633,Ageing-Skin,Mouse
241,Autophagy,Lysosome,TMEM74,-0.21630356677857146,0.06055615222989633,Ageing-Skin,Mouse
242,Autophagy,Lysosome-related genes,SCPEP1,0.22204820690268626,0.05387623848344914,Ageing-Skin,Mouse
243,Autophagy,Lysosome-related genes,CTSE,-0.22871363862564242,0.0468936030028002,Ageing-Skin,Mouse
244,Autophagy,Lysosome-related genes,ATP6V1E1,0.21367862356396397,0.06382464552336341,Ageing-Skin,Mouse
245,Autophagy,Lysosome-related genes,ATP6V1E1,0.21367862356396397,0.06382464552336341,Ageing-Skin,Mouse
246,Autophagy,Lysosome-related genes,RILPL1,0.23136606815663324,0.04433084120173121,Ageing-Skin,Mouse
247,Autophagy,Lysosome-related genes,ATP6V1E2,-0.2553753655174671,0.025982631621580404,Ageing-Skin,Mouse
248,Autophagy,Lysosome-related genes,ATP6V1E2,-0.2553753655174671,0.025982631621580404,Ageing-Skin,Mouse
249,Autophagy,Other,RAF1,0.23307021977239933,0.04274622193470376,Ageing-Skin,Mouse
250,Autophagy,Other,MAP2K7,0.2519945486023182,0.0280920031963644,Ageing-Skin,Mouse
251,Autophagy,Other,ARNT,0.3335327061534501,0.0032369938891273335,Ageing-Skin,Mouse
252,Autophagy,Other,PEX3,0.2836038124431413,0.013041772250739036,Ageing-Skin,Mouse
253,Autophagy,Other,MAPK9,0.22192451847896127,0.05401343602845581,Ageing-Skin,Mouse
254,Autophagy,Other,NAMPT,0.32623508915367744,0.0040268596647416,Ageing-Skin,Mouse
255,Autophagy,Other,ARSA,0.38659503993145783,0.0005615024207365081,Ageing-Skin,Mouse
256,Autophagy,Other,VEGFA,0.214613158320997,0.06264500975775836,Ageing-Skin,Mouse
257,Autophagy,Other,BNIP1,0.20343997071117562,0.07796146007173829,Ageing-Skin,Mouse
258,Autophagy,Other,FAS,0.21458567200461368,0.06267945106812446,Ageing-Skin,Mouse
259,Autophagy,Other,CASP8,0.20223057279030937,0.07978457567068431,Ageing-Skin,Mouse
260,Autophagy,Other,IL24,-0.30971581300729945,0.006477363045584623,Ageing-Skin,Mouse
