,subprocess,Spearman_rho,p_value,hallmark,Tissue
96,Nuclear changes,-0.054689836339922214,0.6889131265443035,Senescence,MAT
97,SASP_Transmembrane,-0.0642399459520443,0.6380895687389336,Senescence,MAT
98,SASP_Intracellular,-0.07035476433678435,0.6063772957161611,Senescence,MAT
99,Changes in morphology,0.034833853045653965,0.7988229713195664,Senescence,MAT
100,Upregulation of anti-apoptotic pathways,-0.08244698945716916,0.5457830588968438,Senescence,MAT
101,Increased lysosomal content,-0.07172888082773717,0.5993463128566499,Senescence,MAT
102,Cell surface markers,-0.1209222512038481,0.37467332135129094,Senescence,MAT
103,Other,-0.04335337528956145,0.7510471511762998,Senescence,MAT
104,DNA damage response,-0.22591181846897096,0.09722833049088271,Senescence,WBC
105,SASP,-0.16941573288716408,0.21626398530344498,Senescence,WBC
106,SASP_Secreted,-0.04576255455984612,0.7400683729944548,Senescence,WBC
107,Metabolic adaptations,-0.17253425879219322,0.2078029752254435,Senescence,WBC
108,Cell cycle arrest,-0.23508608653841712,0.08404117061187802,Senescence,WBC
109,Nuclear changes,-0.019436394012739718,0.8879911510531404,Senescence,WBC
110,SASP_Transmembrane,-0.13101434994035183,0.34037264578075255,Senescence,WBC
111,SASP_Intracellular,-0.07683902782275272,0.577124360452105,Senescence,WBC
112,Changes in morphology,-0.3342262007750409,0.012633713903954244,Senescence,WBC
113,Upregulation of anti-apoptotic pathways,-0.05294241652723878,0.7010654692489535,Senescence,WBC
114,Increased lysosomal content,-0.03375985601839678,0.8066974043812302,Senescence,WBC
115,Cell surface markers,-0.27921685428749216,0.038977800735052436,Senescence,WBC
116,Other,-0.02186594326433218,0.8740971934699027,Senescence,WBC
117,DNA damage response,0.03477038692680528,0.8047759384114209,Senescence,BAT
118,SASP,-0.06200313752682061,0.659176116607379,Senescence,BAT
119,SASP_Secreted,0.00624083867917018,0.9646246109130876,Senescence,BAT
120,Metabolic adaptations,0.053087653699434634,0.7057763822258518,Senescence,BAT
121,Cell cycle arrest,0.024720205157752008,0.8605286456383417,Senescence,BAT
122,Nuclear changes,0.008307609930064198,0.952920943007856,Senescence,BAT
123,SASP_Transmembrane,-0.030069495454183588,0.8307517224587366,Senescence,BAT
124,SASP_Intracellular,0.029056372291980638,0.8363745465780794,Senescence,BAT
125,Changes in morphology,0.047657313550026816,0.7347076651174769,Senescence,BAT
126,Upregulation of anti-apoptotic pathways,-0.012157477946435413,0.9311481064584928,Senescence,BAT
127,Increased lysosomal content,0.041294900091392285,0.7690727290529552,Senescence,BAT
128,Cell surface markers,-0.13506957998489746,0.33489439564671064,Senescence,BAT
129,Other,0.01766886794881947,0.9000693092751604,Senescence,BAT
130,DNA damage response,0.061150243295487586,0.6604748650007919,Senescence,Heart
131,SASP,0.22506048190331712,0.1017937551662775,Senescence,Heart
132,SASP_Secreted,0.07505847532322069,0.589596525115021,Senescence,Heart
133,Metabolic adaptations,0.06708902005664083,0.629799125944102,Senescence,Heart
134,Cell cycle arrest,0.2325318462157357,0.0906362391501194,Senescence,Heart
135,Nuclear changes,-0.059809229188130406,0.6674813315980195,Senescence,Heart
136,SASP_Transmembrane,0.142722215711586,0.30322997520166717,Senescence,Heart
137,SASP_Intracellular,0.004444503898669525,0.9745548091416074,Senescence,Heart
138,Changes in morphology,0.064560250597053,0.6427892309104114,Senescence,Heart
139,Upregulation of anti-apoptotic pathways,0.2800803749937433,0.040241877898022284,Senescence,Heart
140,Increased lysosomal content,0.1722628407622257,0.21291700332846744,Senescence,Heart
141,Cell surface markers,0.229888132689803,0.094469569811055,Senescence,Heart
142,Other,0.055517984044587416,0.6900892884775196,Senescence,Heart
143,DNA damage response,0.03319753789259583,0.7494428264765589,Senescence,Brain
144,SASP,0.015107061012166861,0.8844705250775698,Senescence,Brain
145,SASP_Secreted,0.12139828767718439,0.24122905980185283,Senescence,Brain
146,Metabolic adaptations,-0.05184388706923402,0.6178089582958065,Senescence,Brain
147,Cell cycle arrest,-0.007550012326993499,0.9421122834272243,Senescence,Brain
148,Nuclear changes,0.04480049253119069,0.6663977539600581,Senescence,Brain
149,SASP_Transmembrane,-0.006656394838150839,0.948954036636046,Senescence,Brain
150,SASP_Intracellular,-0.04317509379164222,0.6778186049321484,Senescence,Brain
151,Changes in morphology,0.006156813407380533,0.9527805999549495,Senescence,Brain
152,Upregulation of anti-apoptotic pathways,-0.20047991726066988,0.05141567280571141,Senescence,Brain
153,Increased lysosomal content,-0.011842190816710212,0.9093175624933777,Senescence,Brain
154,Cell surface markers,-0.018519694729400644,0.8586182822283657,Senescence,Brain
155,Other,-0.05427846699946678,0.6013759465474622,Senescence,Brain
156,DNA damage response,-0.05688983035675325,0.6184897783551726,Senescence,Liver
157,SASP,0.20350465755948638,0.07204515133638922,Senescence,Liver
158,SASP_Secreted,0.17721206614353205,0.11819775014418926,Senescence,Liver
159,Metabolic adaptations,0.32866962181171544,0.0031030144293333344,Senescence,Liver
160,Cell cycle arrest,0.07876771223728453,0.49018358729113665,Senescence,Liver
161,Nuclear changes,0.047876974601609834,0.6752179559601283,Senescence,Liver
162,SASP_Transmembrane,0.07884108691100347,0.4897782022231445,Senescence,Liver
163,SASP_Intracellular,0.03986690605395864,0.7272127628965291,Senescence,Liver
164,Changes in morphology,-0.09405410259539751,0.40966898309648314,Senescence,Liver
165,Upregulation of anti-apoptotic pathways,0.050053756588605114,0.6613347227238955,Senescence,Liver
166,Increased lysosomal content,0.10628321488188788,0.3512059412197809,Senescence,Liver
167,Cell surface markers,0.29162764069593605,0.009115965497503245,Senescence,Liver
168,Other,0.05245066259675723,0.6461787497604133,Senescence,Liver
169,DNA damage response,-0.017550773698070937,0.8987978315057648,Senescence,Intestine
170,SASP,0.0038075025584658026,0.9779901922488111,Senescence,Intestine
171,SASP_Secreted,-0.05522691806231826,0.6888087344226587,Senescence,Intestine
172,Metabolic adaptations,-0.03162040219983029,0.818733549802688,Senescence,Intestine
173,Cell cycle arrest,-0.005221717794467387,0.9698183964245779,Senescence,Intestine
174,Nuclear changes,0.020596775744843577,0.8813507978453561,Senescence,Intestine
175,SASP_Transmembrane,0.0026833827554901845,0.9844873639584919,Senescence,Intestine
176,SASP_Intracellular,0.0855418908135317,0.5346232189227365,Senescence,Intestine
177,Changes in morphology,-0.020125370666176385,0.884047490592726,Senescence,Intestine
178,Upregulation of anti-apoptotic pathways,-0.02516577881500254,0.8552873048557827,Senescence,Intestine
179,Increased lysosomal content,0.04409450581994682,0.7492275970116546,Senescence,Intestine
180,Cell surface markers,0.014142152360015838,0.9183780011606726,Senescence,Intestine
181,Other,0.048989866252259984,0.72244953890095,Senescence,Intestine
182,DNA damage response,0.17437538270191275,0.1986706824656302,Senescence,Pancreas
183,SASP,-0.19752924557446777,0.14449479806760146,Senescence,Pancreas
184,SASP_Secreted,-0.1963612465571579,0.1469319115412688,Senescence,Pancreas
185,Metabolic adaptations,-0.24466144121414946,0.06916925823522345,Senescence,Pancreas
186,Cell cycle arrest,-0.06018630230373348,0.6594775920470071,Senescence,Pancreas
187,Nuclear changes,0.12195283857206271,0.3705858754137269,Senescence,Pancreas
188,SASP_Transmembrane,-0.163038921651552,0.2299037858384494,Senescence,Pancreas
189,SASP_Intracellular,-0.042735022868632684,0.7544860670418017,Senescence,Pancreas
190,Changes in morphology,-0.01717645613691024,0.9000113801192008,Senescence,Pancreas
191,Upregulation of anti-apoptotic pathways,-0.09611944854214971,0.4809950023069436,Senescence,Pancreas
192,Increased lysosomal content,-0.13624365007797204,0.3167121721496146,Senescence,Pancreas
193,Cell surface markers,-0.38234791360762194,0.003636616424472036,Senescence,Pancreas
194,Other,0.0702860585122367,0.6067297839959485,Senescence,Pancreas
195,DNA damage response,0.18090243603393866,0.18212015497669423,Senescence,GAT
196,SASP,0.19952171448634937,0.14040705253039856,Senescence,GAT
197,SASP_Secreted,-0.0054277601392636364,0.9683308647304905,Senescence,GAT
198,Metabolic adaptations,0.23572968402295613,0.08029219482580026,Senescence,GAT
199,Cell cycle arrest,0.10683755717158169,0.4332080726575773,Senescence,GAT
200,Nuclear changes,0.005290348490168354,0.9691322210619815,Senescence,GAT
201,SASP_Transmembrane,0.13658717920071023,0.31548195456929556,Senescence,GAT
202,SASP_Intracellular,0.09721874173491196,0.4759689884882249,Senescence,GAT
203,Changes in morphology,0.3228486695493649,0.015229974947142268,Senescence,GAT
204,Upregulation of anti-apoptotic pathways,0.17987184866572403,0.1846650859648173,Senescence,GAT
205,Increased lysosomal content,0.18083373020939103,0.18228902635348898,Senescence,GAT
206,Cell surface markers,0.15616833919678794,0.2504045976885881,Senescence,GAT
207,Other,0.10773073289070104,0.42935023817393825,Senescence,GAT
208,DNA damage response,-0.1186852940367483,0.3881194411793055,Senescence,Kidney
209,SASP,0.10167844927560105,0.46011040719499186,Senescence,Kidney
210,SASP_Secreted,0.23236644185379868,0.08779457269425339,Senescence,Kidney
211,Metabolic adaptations,-0.010080816297652315,0.9417695378855134,Senescence,Kidney
212,Cell cycle arrest,-0.12078848592618656,0.3797058052106791,Senescence,Kidney
213,Nuclear changes,-0.06973168971361655,0.6129392337532691,Senescence,Kidney
214,SASP_Transmembrane,0.13057920679081286,0.34199282058718694,Senescence,Kidney
215,SASP_Intracellular,-0.02966225802690501,0.8297862452175553,Senescence,Kidney
216,Changes in morphology,-0.15661527190489333,0.25350589796517453,Senescence,Kidney
217,Upregulation of anti-apoptotic pathways,0.020451728028330597,0.8821804085981093,Senescence,Kidney
218,Increased lysosomal content,0.08757255884471346,0.5249319247978894,Senescence,Kidney
219,Cell surface markers,0.01802217877673813,0.896094374034749,Senescence,Kidney
220,Other,-0.030351234680341684,0.8258934853702783,Senescence,Kidney
221,DNA damage response,-0.10290297484021523,0.6323076027599804,Senescence,Blood
222,SASP,0.3233459855970556,0.12325741808534131,Senescence,Blood
223,SASP_Secreted,0.27632997123040554,0.1911813550247351,Senescence,Blood
224,Metabolic adaptations,0.18274148980245114,0.392725048977251,Senescence,Blood
225,Cell cycle arrest,0.13262064429838083,0.536733141163533,Senescence,Blood
226,Nuclear changes,-0.04302408861853826,0.8417823106919013,Senescence,Blood
227,SASP_Transmembrane,0.3974183855897967,0.054471241704987856,Senescence,Blood
228,SASP_Intracellular,0.29850733649769323,0.1565243754351797,Senescence,Blood
229,Changes in morphology,-0.4009667640325627,0.052157106279119445,Senescence,Blood
230,Upregulation of anti-apoptotic pathways,0.6679822418507074,0.00036111337968848094,Senescence,Blood
231,Increased lysosomal content,0.5531034897661569,0.005057169186103309,Senescence,Blood
232,Cell surface markers,-0.1099997317257473,0.6088778079556272,Senescence,Blood
233,Other,0.5531034897661569,0.005057169186103309,Senescence,Blood
234,DNA damage response,0.060266575344568155,0.588355818320625,Senescence,Colon
235,SASP,0.518157574829738,5.243457968935735e-07,Senescence,Colon
236,SASP_Secreted,0.334561976743966,0.0019922569835991947,Senescence,Colon
237,Metabolic adaptations,-0.015146984987063525,0.8918919724754159,Senescence,Colon
238,Cell cycle arrest,-0.2839791881238005,0.009275323278071778,Senescence,Colon
239,Nuclear changes,-0.15735082211808776,0.15541546835154085,Senescence,Colon
240,SASP_Transmembrane,0.41149666286637776,0.00011120562667269094,Senescence,Colon
241,SASP_Intracellular,0.38720149882772137,0.0002989402905882823,Senescence,Colon
242,Changes in morphology,0.2605517085150962,0.017360275031807273,Senescence,Colon
243,Upregulation of anti-apoptotic pathways,0.14628516759783552,0.18696156126972288,Senescence,Colon
244,Increased lysosomal content,-0.06453001242013484,0.5621944125384296,Senescence,Colon
245,Cell surface markers,0.15505842127846142,0.16160100934835903,Senescence,Colon
246,Other,0.058745449553788076,0.5978215272853464,Senescence,Colon
