Gene,ENSEMBL,Gene Synonyms,Subprocess,Class,Group,Hallmark
HSP90AB1,ENSG00000096384,"D6S182, HSP84, HSP90B, HSPC2, HSPCB",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
AARSD1,ENSG00000266967,(none known),Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
CACYBP,ENSG00000116161,"GIG5, PNAS-107, S100A6BP, SIP",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
CHORDC1,ENSG00000110172,CHP1,Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
CYB5R4,ENSG00000065615,"cb5/cb5R, dJ676J13.1, NCB5OR",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
DNAAF11,ENSG00000129295,"CILD19, LRTP, TSLRP, tilB",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
DNAAF6,ENSG00000080572,"CILD36, CXorf41, NYSAR97, PIH1D3, TWISTER",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
HACD3,ENSG00000074696,"B-IND1, BIND1, HSPC121, PTPLAD1",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
ITGB1BP2,ENSG00000147166,"CHORDC3, ITGB1BP, MELUSIN, MSTP015",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
NUDC,ENSG00000090273,"HNUDC, MNUDC, NPD011",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
NUDCD1,ENSG00000120526,"CML66, OVA66",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
NUDCD2,ENSG00000170584,NudCL2,Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
NUDCD3,ENSG00000015676,"KIAA1068, NudCL",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
PIH1D1,ENSG00000104872,"MOT48, NOP17, Pih1",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
PIH1D2,ENSG00000150773,(none known),Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
PTGES3,ENSG00000110958,"cPGES, P23, TEBP",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
USP19,ENSG00000172046,"KIAA0891, ZMYND9",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
AHSA1,ENSG00000100591,"AHA1, C14orf3, hAha1, p38",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
CDC37,ENSG00000105401,"CDC37A, P50CDC37",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
CDC37L1,ENSG00000106993,"CDC37B, HARC",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
FNIP1,ENSG00000217128,KIAA1961,Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
FNIP2,ENSG00000052795,"FNIPL, MAPO1",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
PDCL3,ENSG00000115539,"HTPHLP, PhLP2A, PHLP2A, PHLP3, VIAF, VIAF1",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
S100A1,ENSG00000160678,"S100, S100A, S100-alpha",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
TSC1,ENSG00000165699,"KIAA0243, LAM, TSC",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
ZMYND10,ENSG00000004838,"BLU, CILD22, DNAAF7, FLU",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
RUVBL1,ENSG00000175792,"ECP-54, ECP54, INO80H, NMP 238, NMP238, PONTIN, Pontin52, RVB1, TIH1, TIP49, TIP49A",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
RUVBL2,ENSG00000183207,"CGI-46, ECP-51, ECP51, INO80J, REPTIN, RVB2, TAP54-beta, TIH2, TIP48, TIP49B",Cytonuclear proteostasis,Chaperone,HSP90 system,Proteostasis
TTC12,ENSG00000149292,"CILD45, TPARM",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
UNC45A,ENSG00000140553,"GC-UNC45, GCUNC-45, GCUNC45, IRO039700, SMAP-1, SMAP1, UNC-45A",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
UNC45B,ENSG00000141161,"CMYA4, CTRCT43, SMUNC45, UNC45, UNC-45B",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC4,ENSG00000243725,CNS1,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
DNAAF4,ENSG00000256061,"CILD25, DYX1, DYX1C1, DYXC1, EKN1, RD",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
SUGT1,ENSG00000165416,SGT1,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
DNAJC7,ENSG00000168259,"DJ11, DJC7, TPR2, TTC2",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
SMYD4,ENSG00000186532,"KIAA1936, ZMYND21",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
PPP5C,ENSG00000011485,"PP5, PPP5, PPT",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
AIP,ENSG00000110711,"ARA9, FKBP16, FKBP37, PITA1, SMTPHN, XAP-2, XAP2",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
AIPL1,ENSG00000129221,"AIPL2, LCA4",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
FKBP4,ENSG00000004478,"FKBP51, FKBP52, FKBP59, HBI, Hsp56, p52, PPIase",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
FKBP5,ENSG00000096060,"AIG6, FKBP51, FKBP54, P54, PPIase, Ptg-10",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
FKBP6,ENSG00000077800,FKBP36,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
FKBP8,ENSG00000105701,"FKBP38, FKBPr38",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
PPID,ENSG00000171497,"CYP-40, CYP40, CYPD",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
RPAP3,ENSG00000005175,"hSpagh, Tah1",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
SPAG1,ENSG00000104450,"CILD28, CT140, HEL-S-268, HSD-3.8, SP75, TPIS",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
SGTA,ENSG00000104969,"alphaSGT, hSGT, SGT, SGT1",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
SGTB,ENSG00000197860,SGT2,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
STIP1,ENSG00000168439,"HEL-S-94n, HOP, IEF-SSP-3521, P60, STI1, STI1L",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
LONRF3,ENSG00000175556,RNF127,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
STUB1,ENSG00000103266,"CHIP, HSPABP2, NY-CO-7, SCA48, SCAR16, SDCCAG7, UBOX1",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC3,ENSG00000182670,"DCRR1, RNF105, TPRD, TPRDIII",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
CRNKL1,ENSG00000101343,"CLF, Clf1, CRN, HCRN, MSTP021, SYF3",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
FKBPL,ENSG00000204315,"DIR1, FKBP4, NG7, WISP39",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
NASP,ENSG00000132780,"FLB7527, HMDRA1, PRO1999",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
ST13,ENSG00000100380,"AAG2, FAM10A1, FAM10A4, HIP, HOP, HSPABP, HSPABP1, P48, PRO0786, SNC6",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TOMM34,ENSG00000025772,"HTOM34P, TOM34, URCC3",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TOMM70,ENSG00000154174,"KIAA0719, Tom70, TOM70, TOMM70A",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC1,ENSG00000113312,TPR1,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC9,ENSG00000133985,"KIAA0227, TTC9A",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC9B,ENSG00000174521,,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC9C,ENSG00000162222,,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC13,ENSG00000143643,,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC28,ENSG00000100154,"KIAA1043, TPRBK",Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
TTC31,ENSG00000115282,,Cytonuclear proteostasis,Chaperone,HSP70-HSP90 system integration,Proteostasis
NRAP,ENSG00000197893,N-RAP,Cytonuclear proteostasis,Chaperone,Chaperone for alpha-actinin in myofibril assembly,Proteostasis
AIP,ENSG00000110711,"ARA9, FKBP16, FKBP37, PITA1, SMTPHN, XAP-2, XAP2",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
AIPL1,ENSG00000129221,"AIPL2, LCA4",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
FKBP1A,ENSG00000088832,"FKBP1, FKBP-12, FKBP12, FKBP-1A, PKC12, PKCI2, PPIASE",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
FKBP1B,ENSG00000119782,"FKBP12.6, FKBP1L, FKBP9, OTK4, PKBP1L, PPIase",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
FKBP3,ENSG00000100442,"FKBP-25, FKBP25, FKBP-3, PPIase",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
FKBP4,ENSG00000004478,"FKBP51, FKBP52, FKBP59, HBI, Hsp56, p52, PPIase",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
FKBP5,ENSG00000096060,"AIG6, FKBP51, FKBP54, P54, PPIase, Ptg-10",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
FKBP6,ENSG00000077800,FKBP36,Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
FKBP8,ENSG00000105701,"FKBP38, FKBPr38",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
CWC27,ENSG00000153015,"NY-CO-10, RPSKA, SDCCAG-10, SDCCAG10",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
NKTR,ENSG00000114857,p104,Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIA,ENSG00000196262,"CYPA, CYPH, HEL-S-69p",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIAL4A,ENSG00000263353,"COAS-2, COAS2, PPIAL4, PPIAL4B",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIAL4C,ENSG00000288867,COAS-2,Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIAL4D,ENSG00000289549,(none known),Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIAL4E,ENSG00000271567,"COAS2, PPIAL4F",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIAL4F,ENSG00000279782,(none known),Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIAL4G,ENSG00000236334,COAS-2,Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPID,ENSG00000171497,"CYP-40, CYP40, CYPD",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIE,ENSG00000084072,"CYP-33, CYP33",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIG,ENSG00000138398,"CARS-Cyp, CYP, SCAF10, SRCyp",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIH,ENSG00000171960,"CYP-20, CYP20, CYPH, SnuCyp-20, USA-CYP",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIL1,ENSG00000137168,"CGI-124, CYPL1, hCyPX, PPIase",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIL2,ENSG00000100023,"CYC4, Cyp-60, CYP60, hCyP-60, UBOX7",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIL3,ENSG00000240344,CYPJ,Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIL4,ENSG00000131013,HDCME13P,Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPIL6,ENSG00000185250,"bA425D10.6, dJ919F19.1, PPIase, RSPH12",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
PPWD1,ENSG00000113593,KIAA0073,Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
RANBP2,ENSG00000153201,"ADANE, ANE1, IIAE3, NUP358, TRP1, TRP2",Cytonuclear proteostasis,Folding enzyme,Peptidyl-prolyl isomerases,Proteostasis
HSPA5,ENSG00000044574,"BIP, GRP78, HEL-S-89n",ER proteostasis,Chaperone,HSP70 system,Proteostasis
HSPA13,ENSG00000155304,STCH,ER proteostasis,Chaperone,HSP70 system,Proteostasis
DNAJB9,ENSG00000128590,"ERdj4, MDG-1, MDG1, MST049, MSTP049",ER proteostasis,Chaperone,HSP70 system,Proteostasis
